Sentence,Fear,Split
"I also had some difficulty at first with typing...had to concentrate hard on that task, but that problem soon improved.",0,0
"If they do, get the answers you need and deserve.",0,0
The great thing is that both he and his marriage survived.,0,0
Will the urologist wants to do a PC3 urine test before the T3 MRI: Apparently he has had better success getting the scan approved by insurance after the PC3...... My reading of the sensitivity and specificty of this test is that it really isn't that good.,0,0
"I got hand & feet rashes from taxotere, but nothing when i was on A/C.",0,0
"""Ancedotal"" accounts, what happened to this one guy or that other one, are not scientific either.I have had friends who left conventional treatments for natural/holistic, and every one of them died soon thereafter.",0,0
this is what i am trying to reach out to cancer victims..i was given 2 mths to live..Long story short..just like your mom i chose to believe the word of God for my healing..and 21 months later i am still cancer free.God has a plan..if every one would read it and follow the directions..so much would happen..Gods will is to heal..But we have to know it and accept it and believe it.So happy for your mom and your family!!,0,0
I will read more tomorrow and catch up.,0,0
"I think <PERSON> is Taxol & Carboplatin, right?",0,0
Any radiation to this area must wait until continence is regained.,0,0
"I just want to feel good, have quality of life, not be tired and sick and bald on chemo and then just die.",0,0
"Don't worry, its just part of this deal and the shock will pass.",0,0
"""Mom,"" he said, ""I am so glad that you are better, now.""",0,0
( going to be 44 on Monday) If you would like to chat let me know.,0,0
For cancer of the tonsil you should visit the head and neck cancer boards.,0,0
"This gives hope to all, thanks for sharing.",0,0
<PERSON> your getting your exchange done here real soon...so worth the wait!,0,0
Just remember the love that you two shared and that he is always with you.,0,0
I get eligard injected into my stomach fat.,0,0
The treatment was second to none.,0,0
Has anyone shaved their head with a razor.,0,0
"To help with the nausea drink ginger ale and eat ginger cookies or ginger crackers, it helps.",0,0
We are the ones who pay the DRs.,0,0
Not sure your moms age or health status prior to cancer and but they say that all plays into the outcome.,0,0
What a exciting day.You should buy yourself a NICE gift and sleep in.,0,0
i am reading this thanks to you.,0,0
"Thank you for being our champion, on this day and in this event and always!",0,0
you can go there at www.rcog.net doing fine with no side affects.,0,0
Of course I only think of it late at night when I want to chat and I am not terribly regular.,0,0
She was always so upbeat even though she had so much going on.,0,0
I am not feeling well and wonder how long it will take to get through the horrible feeling.,0,0
Give yourself time to heal and be patient.,0,0
"Information like  this always inspires hope.Kind regards, SusanP.S.",0,0
Prayers and good thoughts are coming your way.,0,0
"I also learned to read up on ""facts"".",0,0
They apologized up and down left and right.,0,0
"I had a lower right lung lobectomy via the vats procedure, and that was on 9-23-10 and I have been fine.",0,0
The second time they removed fluid cancer cells showed up.,0,0
"However, I had an appointment with my pulmonary doctor yesterday and he wanted to see the scan and the report.",0,0
have the school carnival and a 50th bday party bbq for an old (no pun intended lol) friendLibby :))))),0,0
My hair does grow pretty fast but it was still very very short.,0,0
He's had the tumor removed and three weeks of radiation.,0,0
Okay <PERSON> I'm in I'll sing a tune with you unite in your journey back to healthier days!,0,0
Guess I better get in this I had a left lung removed two yaers ago .,0,0
"His oncologist treated him very aggressively, practically killing him with the chemo.",0,0
"I love your family picture, by the way.",0,0
"So, so sorry to hear this.",0,0
"Was hoping ""no news"" was good news and sorry to hear that this was not the case.",0,0
"!Congrats on your good news, glad you are doing so well,<PERSON>",0,0
Sounds like they're gonna fix you up 'ol boy!,0,0
I am so happy for you that there is nothing in the lungs.,0,0
"I have had a burning every time I urinate, just irritation from the catheter.",0,0
Your strength and beauty shine through every post.,0,0
"Your kids don't care if you have hair, teeth or anything else they are just glad they have you.",0,0
you sound like you have stage 0 or 1 (early stage) and a low grade is a slow growing cancer.,0,0
The first 2 treatments weren't bad but everyone after I was sick.,0,0
"May you enjoy this day,  and many, many anniversaries to come.",0,0
I have been threw 30 radiation treatments so far along with once a month chemo.,0,0
Stay in touch with us here on this site as well.,0,0
"A radioactive injection the first day, and the scan the next day, which can apparently take a couple of hours.",0,0
"I just finished my fourth Alimta infusion last Aug 16,2012.",0,0
"He used a prescription suppressant in the very beginning, but quit taking it after he started his chemo.",0,0
"Erisian, I really appreciated your reply- thank you very much.One thing about antidepressants is they also have side effects and I have about all the  side effects I can handle right now.Sex is gone.",0,0
Yesterday I w diagnosed with PC 5 cores 7 (3+4)and 1 core 6(3+3 psa 8.6 what should I do as treatment and is watchful waiting a choice please help and I ask for prayer thanks,0,0
Thank you New Flower -- for the update.,0,0
My lung infections cleared right up after the cancer was removed.,0,0
Morning :)I am so happy I posted for help on this board!,0,0
It has been good to see you posting here!,0,0
Thank you so much and I am so glad I found this sight!,0,0
I got my chemo every 3 weeks ad it still kicked my butt.,0,0
"but no one seemed too concerned about it, but now it's much larger.",0,0
Lots of excellent advice here from other Pinks!,0,0
Take your weary days and rest and find sources of strength and joy wherever that may be.,0,0
I will never forget any of it.,0,0
The aching and heaviness were incredible.,0,0
I wonder if your husband is as confused as you are?,0,0
I'm near <PERSON> cause chocolate and margaritas go well together and I've got the brownies.marge,0,0
"Ordered it medium rare, came well done...lol!",0,0
Her oncologist told us that clots are a fairly common component of the disease process.,0,0
"Biopsies are easier, operations are easier (I'm speaking from experience here.",0,0
It can get very overwhelming at Christmas time.,0,0
I consider myself one of the lucky ones as I did not get very sick at all.,0,0
"Finished radiation in April 2009, chemo caused nerv damage and left me in pain and un-able to walk like I used to.",0,0
"Average snowfall in April is 7"" but the Airport has had 43"" and downtown 40"" - not only the snowiest April but the snowiest month on record!",0,0
Your other half sounds like a wonderful man.,0,0
The Dutch would NEVER indugle in such frivolity!!,0,0
I turned over to my left and it went away.,0,0
"You give me hope, I have not started treatment and meet w/doctor to plan treatment, I pray for you",0,0
"Has anyone else undergone this treatment and, if so, how are you faring?",0,0
I was on <PERSON> and Carboplatin...a small dose as long as I was doing radiation.,0,0
On the website look for Cancer in the upper left of the main page.,0,0
Maybe moving is just the thing esp with the other problem with your spouse.,0,0
Cold air blowing on me makes my upper back hurt.,0,0
"Now, I get to meet several of you in <PERSON> in Hershey this weekend.",0,0
Therefore hormone therapy will be part of your therapy.I cannot recommend a doctor in PA for a second opinion.G53,0,0
"Hopefully they can do your lumpectomy,and everything will be clear from there.Just keep  your faith no matter what the outcome of your surgery is!",0,0
"Hello, new to this board but not new to cancer (TNBC is my 4th cancer - 39 yrs old)",0,0
Her lungs have really taken a hit.,0,0
The left nerve block showed more immediate relief than the right.,0,0
"With the first Treatment only mild queasiness using Emend and a little low back pain, with the second tx queasy, flu-like symptoms and low grade fever that lasted a couple of days, and with each treatment the flu-like symptoms and body aches worsened to the point that I stayed in the bed most of the weekend.",0,0
"The cancer has spread to several of her lymph nodes, and to various bones of her body; her left shoulder, right thigh, and spine.",0,0
I slept on the couch with pillows behind me.,0,0
"1 hour after my echo,  I am scheduled for port.",0,0
Good luck on the radiation.,0,0
Use a recliner to sleep in or lots of pillows when you get home.,0,0
So go out there and enjoy your life.,0,0
I had my left breast removed last May.,0,0
It's an hour from north county San Diego and usually an hour for my San Fenando Valley people.,0,0
They surgeon told me to try not move this arm for 2-3 days and take it easy.,0,0
they seem to be working well enough for me to at least go out and talk about it.,0,0
You've had such a rough road and I don't know how you do it.,0,0
I wish that I had started seeing the naturopath while I was getting my chemo and radiation.,0,0
RE  you are amazing and an inspiration.,0,0
"Like you, I lost my mother to lung cancer.",0,0
Hi everybody my wife was diagnosed in Oct with 3-A NSC in her right lung.She finished the six weeks of chemo & Radiation.We just got the results from the CT scan the Tumor in her right lung has shrunk 50% (YEAH!,0,0
"I have 2 dogs, 2 cats, a fish and a hamster, and I provide them with the very best care.",0,0
"After all, chocolate covered cherries are still fruit.",0,0
I will have you both in my thoughts and prayers for a sucessful surgery.,0,0
My cancer has spread from lung to lymph nodes.,0,0
"A spa day sounds good, always.",0,0
"I have people tell me Oh, I went through it too!",0,0
"Be sure to let us know what you find out.Hugs, Debby",0,0
"I can lose up to 1 lung total, but the surgeries themselves have side effects and right now I feel pretty good.",0,0
My mother has Stage 3 lung cancer (Non-small cell carcinoma).,0,0
"
  Nubis,  I am so sorry to hear of your loss, <PERSON> fought a long and hard battle against a tough opponent, he is at peace now.",0,0
"What a journey...dance, dance, dance!!!!!!!!!!!!",0,0
I had a great experience.,0,0
Let the doc give her the knowledge.. and her te decision..... u r there for her... that is a lot.,0,0
"She started feeling sick to her stomach every morning before going to school, sometimes so bad she had to skip school and go to the babysitter instead.",0,0
I will add that I wore sleeveless tees..the stretchy ones.,0,0
I'll be standing at the end of the tunnel with the light waiting for you to exit.,0,0
I'll bring the cafe au lait and beignets!!!,0,0
"All these allow circulating testosterone and libido, though there are some side effects.",0,0
It turned out I had a slow growing cancer.,0,0
"I'll catch you one of these times, though.",0,0
I finished my chemo for breast cancer the last day in August.,0,0
I am so sorry for everything that you are going through.,0,0
wow full plate...good luck...good thoughts coming your way,0,0
How insensitive of the tech and the doc.,0,0
Try contacting the social worker at your local hospital.,0,0
Just know that we are here for you and praying.,0,0
"Hi Ernrol, thanks for your reply... your a amazing inspiration... Its a bit difficult in some ways being here in Canada however we can get access to most any Health food item there is out there.",0,0
My close friend was with me through my surgery etc...and knows I caught mine early-yet hasn't been to doctor in years.,0,0
looks real has highlights and only wear it to work.,0,0
Thank you for the prayers!,0,0
"Today is really rough, just want to get this over with.",0,0
He has just finished 3 cycles of cisplatin and gemzar-or his 1st round.,0,0
The IV antibiotics can do wonders and tend to work really quickly.,0,0
