Sentence,Surprise,Split
We walked 3.5 miles tonight at a brisk pace as a warm-up for a 16 mile walk this weekend.She wants to keep fighting... her fear is that she gets to a point where our kids and me suffer watching her.,0,0
My Radiation Oncologist will re-evaluate my condition on my next visit.,0,0
Some here have seen activity that allowed them to continue active sex lives in as little as 1-2 months after surgery and some are 10-12 months out and still working on it.Your doc should have you on a rehab program.,0,0
To make a long story short when I found out I had prostrate cancer my psa was 110 and the doctor that did radical surgery said he would open me up if it was in my lymph nodes he would have to close me back up and only thing to do would be to go on homone treatments.My lymph nodes were fine and he removed my prostrate.This was in 2009.In2011 my psa rose to .06 and I had to have salvage radiation and today my psa is .01.Accoding to my doctor I dodnot know why he removed your prostrate if it was in your lymph nodes.,0,0
Many more happy and healthy years to come!,0,0
I had minimally invasive lung surgery on 6/6/05 and surgeon removed lower lobe of my right lung.,0,0
i knew it was poss.,0,0
My additional advice is to ask your friend to join us.,0,0
"That beautiful precious pound I thought I had lost has found it's way back home, so sadly I have to say I've neither lost nor gained.",0,0
"Thanks, Will for posting your status.",0,0
"I laugh when I see her too, and, we can all use a good laugh anymore!",0,0
And so happy that you will be going to parents weekend aat your daughter's college.,0,0
I searched around in the net and it looks like tumor fever.,0,0
"He will cover the lymph nodes and prostate bed.A combination salvage radiotherapy is administered with an initial agonist shot (ex; <PERSON>) as neoadjuvant followed 3 months later by radiation and continuing hormonal shots during 6 to 18 months (depending on the case).Here are the norms followed by urologists (your husband's doctor);Best wishes,VGama",0,0
I also am glad I found this site.,0,0
i will be sharing this site with my siblings when they visit today.,0,0
"My breasts now (I calls them breasts still because they still look like small breasts to me, I had the skin sparing BMX) look way better, the scars look way better.",0,0
I have a brother who just went through his 6 doses of chemo (6x 21days apart).,0,0
I say..........with glass half-full....ok maybe full......COME ON RAD B'S ............LETS ROCK AND ROLLLLLLLLLLLLLLLLLLLLLL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,0
That is great that your sister is coming and your niece and great-niece!,0,0
I start boosters next week.,0,0
Enjoy your free time now!Sue :),0,0
sometimes it seemed to be pink by friday and return to normal over the weekend.,0,0
"<PERSON>, you seem so know so much,
I'm sooooo new to this, tomorrow is my dad first treatment to chemo, I don't know what kind or anything, all I know is that he had what they call adenocarcinoma stage 4.",0,0
I thank you all very much for your sharing your stories and for your input here.,0,0
I think several health insurance companies now pay for gym memberships.,0,0
The people I have talked to haven't had lung sugery.,0,0
"I got home from the hospital this past Monday, Sep. 4, after exploratory surgery and a diagnosis of Stage IV lung cancer.",0,0
These are cancer of the smooth muscle and connective tissue within the prostate and usually by the time they are found they are quite large and cause the symptoms you described.,0,0
i just feel like i am watching him die and i cant do anything to help him.,0,0
"For me, the ultrasound hurt more than the mammogram because they really have to push on your breast to get a clear pic.",0,0
"depending on where the symptoms are, be on the look out for SHINGLES.",0,0
"I would always try all means neccesary to escape a doctors prognosis, so yes <PERSON> is worth it.",0,0
your comments brought tears to my eyes -which is no easy feat because i'm not that emotional!,0,0
"Plus, I nearly froze when the bus windows were rolled down while we were picking up Margo in Maine.",0,0
"And as luck would have it, I wound up living in Cardinals territory: here in Springfield we even have the Cardinals' Double-A farm club.",0,0
"Numbness, tingling, and sharp prick sensations sound like neuropathy, a common side effect of at least chemotherapy and possibly also radiation.",0,0
I find value in your post in that it does seem to be a grey area this prostate thing....I hope you can ask Dr. <PERSON> what he thinks about the possibility that perhaps this is all over diagnosed and maybe more tests...like what <PERSON> had to determine the strength and extent of the cancer is in order prior to ever even making a decision on what treatment.,0,0
"Share stories with your children of how you and your wife met, how you fell in love, and how much she loved her children.I will keep you in my prayers.<PERSON>",0,0
"My birthday was on Easter this year, and I feel so glad to be alive!",0,0
I had a non small cell tumor in my left lobe.,0,0
What beautiful poems.I appriatte it so much.I will feel the presents of you sisters Prayers and love when I am walking in to see the Dr.You remember the feeling you have to fight off.Like when it feels like your knees are bending from fear.Thanks again.love you all.,0,0
"I moved to Georgia in 2008, previously I lived in Florida working in the medical field since 1981.",0,0
They may very well have one right there at the hospital.,0,0
Seems like kids type events worked well at our Relay.,0,0
"I was given only chem as treatment in my case it was palliative care, and the cancer was to wide spread to do radiation.",0,0
"Again, not having the mutation doesn't mean Tarceva won't work.",0,0
Rads are done and cruising in 2 weeks!,0,0
Make a best guess as to whether it is still contained within the prostate.2.,0,0
"Now that they followed up with a new scan, the tumor has grown too much for the surgery.",0,0
Take some time to celebrate as you have certainly worked for this.,0,0
I can't imagine how scared you must be.,0,0
"The drains were very annoying, they stayed in me appx.",0,0
If you had gotten the prescribed dosage you may have died.,0,0
Has anyone heard much about this?,0,0
I'm very happy for you that they were able to remove it.,0,0
"I probably will have the Biopsy done, but I will wait a couple of weeks until July when I get on Medicare, and have the procedure done outside of the VA system.",0,0
Reading posts on this site has been a blessing!,0,0
I've been fortunate enough to have clean scans since the surgery.,0,0
"I agree, the no pee pause is kind of a nice thing and I plan to ""enjoy it"" while I can.",0,0
"Reading your posts over the last year or so has been so helpful to so many people, including myself.",0,0
"I was told I had a small tumor, upper left lobe.",0,0
The Oncologists at VCI are very optimistic of a cure.,0,0
"Keep the GOOD news coming....... Best wishes for you, your wife and family..... <PERSON>",0,0
Any treatment given to men with less than a 10-year life expectancy from normal aging or other health causes would likely cause more harm than good.If indeed your FIL is elderly and has been diagnosed with a Gleason 6 low risk prostate cancer and the urologist suggests treatment you need to seek other opinions.Good luckK,0,0
He will only be able to simulate actual sexual activity,0,0
"I am not on the A's Jenny, but, want to wish you good luck in getting some help with your side effects.",0,0
This way I was able to get it again.,0,0
Fortunately my old job came back to me but it's very low pay.,0,0
"I have heard:
""Oh you must have the good kind of cancer""---didn't know there was a ""Good Kind"" can I trade my 2 aggressive breast cancers for that?",0,0
i make 15 cents more a hour and i live alone.,0,0
Hey if I wasn't 42 I think I've gotten good enough to table dance!,0,0
"Wishing you many, many more.... Stay well .... <PERSON>",0,0
My mother just finished chemo treatments and is doing great.,0,0
"As I mentioned before, this website is incredible.",0,0
"Hi there,
I am new at this chemo business too!",0,0
I am thrilled and consider myself blessed because this only lasted about two days.,0,0
I've been assured that I don't have horners.,0,0
My dad is on the Carbo / Taxol too.,0,0
I remember having weird tasting burps after surgery!,0,0
Wondering if you'd spoken with your onco about your results yet also.,0,0
The more that report it directly to them I would think the more they would get busy doing something about it!,0,0
A chose a VERY gentle form of yoga that was good for easy stretches and relaxation.,0,0
You already know about finding a treatment plan and team that you both feel comfortable with.,0,0
"Trew;
       I agree with all of your comments and pray for the best.",0,0
He has only missed 1 test and that was because I knew he was exhausted and insisted he stay home and rest.,0,0
"<PERSON>, hopefully you're working with a specialist now that you've had your PET Scan.",0,0
My father's recently been diagnosed with stage 3b/4 NSCLC.,0,0
"I am actually anticipating my surgery, even the chemo, to get all the sickness out of me and start healing.",0,0
I forgot that some DQ's have chocolate ice cream!,0,0
You may want to make an appt with the social worker so you can vent your frustrations.,0,0
"When I feel the pain a smile goes across my face, cause I know im still here to feel it,an I give thanks....I hope that helped answer your question",0,0
He has severe anemia and was finally given a blood transfusion yesterday.,0,0
He said it was because of pressure and the fact that he might have to go back in one day.,0,0
"i just never liked putting anything i didn't have to into my body, but i guess i can forget that now anyway.",0,0
She broke her rib months before so I am wondering if the cancer moved to her bones.,0,0
"Pet scan shows all cells in large tumor are dead...other areas still have active cells, and doctor is attempting to control those.",0,0
"Results came back that there were between 5 to 7 masses in her brain, one on her pelvic bone, and a small mass on her adrenal gland.",0,0
I'm still here and have been cancer free for 7 years.,0,0
"They really helped, sometimes directly, sometimes in subtle ways, and definitely in seeing an outpouring of love.",0,0
I finished the radiation and 2 rounds of chemo.,0,0
Anyway I ended up leaving with my braid that was a little over 19 inches long !,0,0
"Best to you and Merry Christmas,Carol",0,0
I'm having rads to my left breast thanks MollyZ,0,0
"of chemo the PET scan showed three hot spots and one was on his rib, neck and lower back muscle.",0,0
My sister ran thru the whole gamulet of emothions but now has a very good attitude about it.,0,0
a meeting between 4 other doctors was also done cause my dr (radiation oncologist) wasnt convinced it looked like your typical lung cancer.,0,0
CC looks like you had a great time!,0,0
"Hello,You may want to contact the American Cancer Society's National Cancer Information Center.",0,0
Best success and God bless.,0,0
Best side effort - I can imagine!Strength and Courage:<PERSON>,0,0
sounds like a good mix to me!,0,0
Oh I forgot to say that she is 80 years old.,0,0
I suggest you to have consult with other doctor to got more opinion.,0,0
The doctors are telling me she has months to live.,0,0
"Healing never happens fast enough, but later it will seem like no time at all!Blessings!Kathy",0,0
Until my leg hair grew out and my hair grew in it was wonderful - very low maitainance.,0,0
Hope all went well with the 2nd opinion.,0,0
Yesterday was my last day of treatment.,0,0
i lost my hair from cisplaten and spent 4 mo at mda in houston.,0,0
"next day nurse called and he wanted cat sccan,breathing test echo car, bone  scan , brain scan, and finally pet scan.",0,0
"Surgeries,Radiation, chemo, hysterectomy (missing body parts) scars misc Medications , side effects etc.",0,0
Join inspire group too there are more story's on there for u.,0,0
Thirty minutes to an hour each day is all you need.,0,0
Happy Birthday to both of you.,0,0
Our good friend went through chemo for this last year and now my daughter is scared that I am going to lose my hair.,0,0
I know how painful mouth sores can be...,0,0
"A true inspiration to so many.Best wishes,<PERSON>",0,0
and enjoy all the love you provide.,0,0
It is now the size of a quarter.,0,0
"If they do, get the answers you need and deserve.",0,0
It's not hives and not red unless I scratch it without thinking.,0,0
they have given him fluid pills but they haven't worked.,0,0
"I'm not happy with no hair, but I am having fun with hats and scarves.",0,0
The way to check is to gently pinch the skin on the forearm.,0,0
They were going to do a lobectomy if the lymph nodes were clean.,0,0
The tip of my tongue is constantly sore and burning and the back of my tongue carries the most horrible taste.,0,0
Just wanted to let everyone know I am doing fine.,0,0
I hope you get your computer up and running.,0,0
The physical therapist will get your range of motion back and will probably do lymphedema massage as well.,0,0
"I felt foolish, because I was ""only"" having a relatively minor procedure, but my fears and yours are very real.",0,0
"Many, many new sisters, anxiety about aches and pains, new scans, MRIs, first chemo treatments, hair falling out...",0,0
This site has been a very informative site to read.,0,0
"The best way is not to get it but if we do, look after it to avoid making it worse.",0,0
The Dr.'s and staff are very nice and seem to be very knowledgeable.,0,0
I wish you and your husband the best and keep posting.,0,0
They're only a guideline and based on very old statistics!!!,0,0
She would agree with everything dennycee has to say.Happy New years...,0,0
"I'm still hopeful, but he is starting to feel like we are just prolonging the inevitable, etc.",0,0
She is under 100 lb and is in so much pain these tumor just keep growing.,0,0
Thank you for finding and posting excellent info <PERSON>!,0,0
We are the ones who pay the DRs.,0,0
He had a heart attack 3 years ago and has been really good about taking better care of himself after that scare and even quit smoking and everything seems to be ok with his heart.,0,0
If you need anything else just let me know.. you are in good hands here... wonderful website...beautiful people to talk to and get some great advice from...((((hugs))) Lisa,0,0
"All of the people on this site are what we consider the sister warriors, and you are now one of us.",0,0
I am sending positive thoughts your way for a painless future.,0,0
We will indeed keep Young One and her loved ones in our thoughts and prayers!,0,0
It was pretty obvious this was cancer even though we didn't want to face up to it.,0,0
"Sharon,
As you can see from the responses, each is separate and individual.",0,0
See davinci origami on you tube.,0,0
"My husband has stage 4 nsclc and was given a year with treatment, a year ago.",0,0
Doctors were stumped because if it was the chemo that raised the level - it sure did take a long time.,0,0
"The burnt esophagus from radiation which started after about 20 treatments out of 35 was very hard on me, meds helped some.",0,0
He 57 years old and hasn't smoked in years.,0,0
"I had the same worry...I had my lumpectomy 2nd surgery on 6/26 and had my port put in on 8/4, started chemo on 8/12.",0,0
Years after left mastectomy with node removal and left frozen shoulder.,0,0
Had a vats to removed lower right lobe.,0,0
"For instance, some won't mention SBRT because they prefer (and have access to) the more expensive IMRT methodology.",0,0
This is such a blessing to have this site whenever I need it.,0,0
Yesterday I w diagnosed with PC 5 cores 7 (3+4)and 1 core 6(3+3 psa 8.6 what should I do as treatment and is watchful waiting a choice please help and I ask for prayer thanks,0,0
"had surgery for lung cancer in feb 2008, all seemed ok, then it hit me.",0,0
Thinking about the wonderful care he received from the oncology nurses gives my family and me great comfort.,0,0
"This has ruined my life, as I am always in pain and constantly thinking about it,has anyone been through this or offer some advice?",0,0
"It is also recommended to have a mastectomy with BRCA, so thank God I didn't give into the pressure to get a lumpectomy!",0,0
I have had a lumpectomy and 29 of 33 radiation treatments.,0,0
"It is my understanding that when we are estrogen positive, some additional drugs are needed to counter the estrogen we produce.",0,0
"  Happy to hear the  good  news ,    Many more  <PERSON> ,,   and  glad  we boyh  share the same  Dr ,   it is always  a pleasure to hear from  you           continued   good health          joe",0,0
I see you're awake at this hour too...lol.,0,0
Her oncologist told us that clots are a fairly common component of the disease process.,0,0
I am glad you were able to edit your post and take your address off!,0,0
One of the women in my cancer support group had her chemo at that clinic.,0,0
Today is National Cancer Survivors Day and this is something we all need to rejoice in.WE ARE ALL SURVIVORS!!,0,0
Anyone with  pomegranate pills experience reducing psa?,0,0
I was 33 at diagnosis and had a large tumor and 4 + nodes and wasn't at all sure that I would see 43.,0,0
It has been a year and a half since my father in law was diagnosed with terminal stage 4 lung cancer.,0,0
just wondering if anyone else has no side effects from chemo,0,0
"There are quite a few, Sams kinda my favorite cause he's a doc.",0,0
"god bless you and yes i do agree god is very powerful.his word and the knowledge he has givin to the dr's,this is the hardest thing i have ever been through and to keep the faith at the same time is tough but god is great,so happy for you and you family as well god bless you .",0,0
I was diagnosed with adenocarcinoma non small cell of left lung last May.,0,0
"So, Annette is on <PERSON>?",0,0
You never cease to amaze me!,0,0
"Teresa,
    I'm sorry about your step-mom.",0,0
"Congrats that is such wonderful news, celabrate and don't stop the dance",0,0
You are so beautiful <PERSON>!,0,0
"I have survived cancer and my wife survived stage 4 melanoma, diagnosed June 2009, four treatments of IL2 chemotherapy and CT, PET scans March 2010 showed her cancer free :)!!!",0,0
Comes in a bag that has 12 individual snacks inside.,0,0
My doctor waited six weeks before activation.,0,0
"Dear jalu, Please let you mother do what ever she wants, let her be happy untill she goes to heaven.",0,0
"Dear Chen, You have such a beautiful gift and along with your special friend created a lovely masterpiece.",0,0
welcome-this is a great place..I wish I had look up info about this site at teh start.,0,0
"I survived non small cell carcinoma lung cancer, stage 3B.",0,0
"Hello Spicy and <PERSON>,
My name is <PERSON>MB and my Dad was dx with Neuroendocrine carcinoma around the end of Jan. 2007.",0,0
Know that you were missed as were your insite and compassion.,0,0
Hoping you had a wonderful birthday!Leeza,0,0
They want to do whole brain radiation followed by another round of chemo.,0,0
Some foods can work against chemo.,0,0
I knew it would not be forever and one day I would be tasting again.The biggest bummer was that my 44th birthday was just 2 days after my 4th chemo.,0,0
"My wife did not say anything, I told him everytime I can catch her, but she is very fast.",0,0
"The left lumps were neurofibromas, so not cancerous.",0,0
I had the Neulasta shots the day after the Red Devil and I had no side effects from it at all.,0,0
He used it for 3 days and now only uses it every other day or so.,0,0
In October of 2012 a second brain tumor was discovered and removed.,0,0
<PERSON> you are one funny bc survivor and we love you!,0,0
Thank you in advance for any advice!John,0,0
Just read a blog that talked about losing your fingernails!,0,0
"She hasn't lost weight yet, but she has lost her hair.",0,0
"You are one hell of an inspiration to many of us and for that, thank you!!",0,0
I think the Sterotatc Radiation (gamma knife) is in store !,0,0
"It is a gamble, but just blindly having procedures is alot worse.",0,0
She has recenetly had her left lung removed due to cancer....,0,0
"The latter is also recommended for patients on hormone therapy, so that is a double positive.",0,0
"Hi reinstones1,I forgot to tell you that I'm pulling for your mom, as well, so I'm sending you and your mom my best wishes, too.",0,0
I also swallow a lot of air with liquids and solids alike.,0,0
"She has stage 2 breast cancer and will be undergoing CAF treatment, followed by tomaxifin.",0,0
I couldn't stand how it made me feel.,0,0
I had know idea that Lc was called the silent killer.,0,0
Some days my mind takes me right to the grave.,0,0
we're talking about an extremely smart man who always worked crossword puzzles in ink and did hard sudokus .,0,0
I believe they will not biopsy anything under 1cm.,0,0
It kills the cancer without harming normal cells and it also prevents the cancer from spreading.,0,0
"Not heart problems, just the way my depression feels.",0,0
Happy Birthday to you and Congrats on 6 years!,0,0
It took from April until January to produce anything they could biopsy.,0,0
"Hi <PERSON>, I only had 1 mouth sore.",0,0
You need to stand back a bit and take stock of what you have and what you want.,0,0
So many of us are praying for you and your family.,0,0
I can no longer take adeep breath without terrible pain.,0,0
I had it done 2 months ago and I'm 49 with 2 teenagers at home.,0,0
"Not sure if we can get <PERSON> here though... keep up the good work, you're showing us all that it can be done!",0,0
"This tracer has proven to be more specific in PCa than the Fluciclovine F18 (Axumin) but it requires higher levels in PSA above 1.8 ng/ml (your case).Surely you will lose nothing in doing the Axumin, but in your shoes I would procure the PSMA PET scan too.",0,0
That's awesome that you have such a great support team!,0,0
I was diagnosed in July 2010 with Stage iv lung cancer nonsmall cell at age 45 with 2 young children.,0,0
Proper treatment can lengthen the time you will survive and you should never give up hope.,0,0
Consistently all canned soups (and green beans) have very high BPA amounts.,0,0
She actually was quite the hypochondriac until two years ago.,0,0
The doctors have not been clear about the fact that this is a terminal disease and that there is no cure.,0,0
"I am an only child and her only caregiver, I am so afraid for her.",0,0
AARP magazine is another likely outlet.,0,0
I have been having the worst infected hair follicles under my arms since chemo.,0,0
Just to keep you posted my <PERSON> received his first dose of Taxol/Carbo on Friday the 14th and is already breathing much better.,0,0
You have already been diagnosed with COPD bad enough to need an inhaler.,0,0
"Therefore, take your oncologists advise as he/she may be current on this subject matter.",0,0
In any case you will find out at the next consultation.,0,0
"My pets just sit and watch them and, I swear, they enjoy their anctics as much as we do.",0,0
You and your mother are in my prayers.,0,0
Have not had any issues with leakage or breakdown.,0,0
I also congratulate you on your empty head!,0,0
Find some other site to spread your scam.,0,0
They gave me six months to live after I could no longer take more chemo.,0,0
The music was uplifting and getting out with other people helped too.,0,0
My Dad and I feel if she smokes it will cut days off that six months or less.,0,0
I had my last of 16 chemo treatments on 12/16.,0,0
That is really great about being able to sit down with experts and talk one on one with them!,0,0
Just happy to be alive and grateful to God for everyday.,0,0
"I progressed again .....   and, I am still using hormonal therapy.I am highly ER positive too.",0,0
"I am not sure, but, I think <PERSON> is a card game.",0,0
I hope your mom is doing better,0,0
I was in the hospital very low WBC.,0,0
In the meantime he has an appoint with a medical oncologist after that second PSA.,0,0
I am afraid he is losing his drive to fight.,0,0
Two Tranrectal Ultrasonography (TRUS) with prostate biopsies performed during this period with negative Pathology.2009 - PSA 17 followed by 6 core prostate biopsy.,0,0
"Any good, happy or exciting news to share?",1,0
I was just diagnosed with stage 4-lung and adrenol gland.,1,0
Hip hip hooray for your good news!,1,0
I also have to question whether a paid speaker in public schools is allowed even in California schools.,1,0
"Guess what, I have been offered the job.",1,0
"I know it is early (3 months tomorrow) but, I never realized what wearing pads, diapers, etc can do to a <PERSON> from a mental, emotional point of view.",1,0
Unfortunately the chemo hasn't worked and the tumour is particularly aggressive.,1,0
"wow, <PERSON>, did you know your text is bigger?",1,0
I never knew until <PERSON> was diagnosed just how common NSCLC is in young women.,1,0
"Omg, this is the funniest one yet!",1,0
They did so within minutes of my email.,1,0
"Radiation reduced the size of the tumor by 75%, making surgery possible.",1,0
"And believe me, that tape left itchy spots when they removed it!",1,0
one day we think we are fine and the next day find that we have cancer.,1,0
Truly amazed with the generous nature of the people around me and pretty dissapointed with about everything else.,1,0
So great to hear more good news on this forum!,1,0
"Researchers were surprised to discover that lung muscles have  receptors, and that when tested on human and mouse lungs ""..bitter compounds relaxed and opened airways better than any existing asthma drug.",1,0
wow so sorry to hear of all your issues....,1,0
"Wow, a boob job, never saw that one coming.",1,0
"Surprisingly, the correlation between PSA at Dx and survival was very low.",1,0
i was surprised but also i was told if i felt like it i could go back to work the next day.,1,0
I could only wonder if all surgeons felt that way.,1,0
Come on guys what in the world is a hot flash?...the english definition of a flash refers to a sudden brief burst of bright light...what are you talking about with flash a lightening bolt or a bright idea or something?.,1,0
"I had one <PERSON> shot and 40 radiation treatments and have survived 5.5 years, but the cancer is back, however my prostate has no cancer in it at all which was confirmed by another biopsy last winter.",1,0
"I went for my 3-month check, and my oncologist said ""I don't want to see you for 6 months""!!!!",1,0
Yes the erection is there with <PERSON> and sometimes really good.,1,0
"!If I am reading what you wrote correctly~ this combo didn't just reduce the number of cancer cells, but actually eliminated them???",1,0
One of the local news stations caught wind that my wife was diagnosed with stage iv lung cancer.,1,0
Great news on the 30 percent reduction!!,1,0
Those chin hairs are resilient!,1,0
"(Didn't expect to get a ""catastrophic illness"" when I chose the HMO.",1,0
"Thanks <PERSON>, I often don't look at the dates, wonder how it ended up here so many years later.",1,0
"This benefit is particularly important for tumors located in or near vital organs"" .No exit damage sounds good to me...........................Dave 3+4",1,0
I am suprised they offered that as they dont so much anymore.,1,0
"By being diagnosed at this time in history , gives us the most important factor in the equasion for
succesful treatment...TIME...Medical science is progressing at a very rapid rate and who knows what will be descovered in the battle of the ""beast"" in the near future.",1,0
My father is newly diagnosed with Stage IV Non-small cell carcinome/lung cancer.,1,0
The spot on the bone is gone-  they can't say why and don't know how.,1,0
Wow i was thinking only an hour or two.,1,0
I'm 100% P&T because of them and they have help me with my SSDI!God bless!!!,1,0
wow...prehaps local agency where you are parked for few months...could use some help..perhaps volunteeryour well deserved retirment sounds great...,1,0
wow im just wondering what part of the above comment needed flagging.,1,0
It's always a new adjustment in this crazy club :),1,0
- I'll check it out - it amazes me how many women are going through/have gone through this.,1,0
Thanks for sharing the good news about your dad.,1,0
"She had ""flu like syndrome"" what it looked like on the computer for 2 days.",1,0
Congrats on some good news and thanks for sharing!,1,0
wow so sorry to hear of your family situation...,1,0
"Had some good news also, will update later....... <PERSON>",1,0
"Hi Tee,
   This is fava, what a turn of events!!!",1,0
As usual I am awed by the research that you share.,1,0
I have been just given my news and just looking for as much information that i can get to make the correct procedure for myself.,1,0
I got a rash and it turns out that means the stuff is working.,1,0
It is amazing that what seemed so big two months ago is now so small.,1,0
"I am happy to report my last PSA test (Blood taken 04/05/2013)PSA <0.03  unchanged, the same result as 01/09/2013Wishing everyone Good HealthEd",1,0
It was packed in ice...weird.,1,0
I don't know why that posted three times!,1,0
I just do not understand.,1,0
this drug surprises me every day I am 6 weeks into a 3 monther...wowow the hot flashes were a breeze...the migraines and my pressure of the charts while being on pressure meds for years....i am excited to know what will happen next...talk to me anytime...I hate being in the dark and will share whatever I know aand/or have experienced...Peace....ooo i forgot what I wrote...another side effect....always meeting new people,1,0
Great to hear your well done but not burnt.,1,0
She was one of the patients of Fata who was in the news a few months ago for medicaid fraud.,1,0
was the previous photo really you?,1,0
I feel like such a polyanna to have believed she was doing better and that her dr would find something to help her.,1,0
"To return, and see the great news is like a miracle....I can hardly believe as I read further and further through your post.",1,0
I noticed that I started getting rashes when I worked in the yard.,1,0
"You will be, if not already, amazed by the wonderful folks within this group!",1,0
"Thanks <PERSON>, I did not know about the PMing.",1,0
That is wonderful you both were best friends.,1,0
"I know that they expected that I would be uplifted by this, but I was curious as to why they were saying it.",1,0
So there is hope out there and just keep the faith and don't forget to breath!!,1,0
Well tommorow will tell all..I hope it is nothing.. keeping my fingers crossed to this.. if it is nothing I will leave my fears there and move on with my life..hoping that this is the case!,1,0
"so much to learn and to understand, I am getting confused.",1,0
They discovered that for some reason when used along with radiation it worked for people who had lung cancer.,1,0
But some cells in some folks malfunction for reasons we still don't understand.,1,0
"I was naive to think that after treatment,  life goes back to “normal“.",1,0
"It's nice to hear good news, thanks for sharing.",1,0
Many times we received denials and everytime it was due to a bad code used.,1,0
"He is also starting to do strange things, like putting the catsup with the dish detergent.",1,0
We love good news and I am thrilled for you!,1,0
Congrats on the good news that you got!,1,0
"I didn't find this site until I quit working and had gone through cancer twice, but what a blessing it has been to me.",1,0
I think this is the best posting on this site that I have ever read too!,1,0
It's a wonderful feeling to share good news with others.Hope you have a wonderful weekend also!!,1,0
I  know NOTHING about this... is that a normal break in cycle?,1,0
I'm anxious to hear how you make out.,1,0
Never dreamed it was cancer growing.),1,0
"Gosh joey5150, I'm so sorry to hear about your father.",1,0
"And, think of the money that would be lost with a cure, once again, billions and trillions.",1,0
"Janet,
I find it interesting that you were told you wouldn't have to take anti-estrogen meds if you had bi-lateral mastectomies.",1,0
"Or better yet,"" wow you didn't lose you hair?""",1,0
I also thnk it's good news that her cancer hasn't spread to other organs.,1,0
"I just opened my ornament from Victoria (aisling 8) and I am just amazed, jaw dropped to the floor, amazed.",1,0
Are you saying that you did not get it?,1,0
My wife has no mutations so how is it she has cancer?,1,0
"Made it through with flying colors - I was pale, then pink now a little more colorful.The surgery went well and Dr. was happy with the removal and very happy with the new connection for the bladder (hopefully that means good for incontinence recovery).This is day 5 after surgery (Tuesday) and each day is so much better than the day before.",1,0
what a nice ornament surprise you received today.,1,0
"Once again pammy, wow your info was amazing.",1,0
That's some great news you got.,1,0
"And thanks Jeanne for keeping track of the milestones~it's great to have these reminders of Good news!Get out there and celebrate, TJHAY~ you deserve it!",1,0
"I wonder why this is an issue.Hormone treatment, more accuarately anti-hormone treatment is the most reliable way to accomplish this.",1,0
"Happy to hear the wonderful, healthy news about Isabelle.",1,0
I was so shocked and surprised and overwhelmed and happy!!!,1,0
I can not believe these statistics!!,1,0
My biopsy report and final pathology report were different.,1,0
This was the BEST IDEA I ever had what an improvement!,1,0
People were surprised to hear of my three cancer diagnoses.,1,0
Thats awesome news floridiansis...clear margins with no nodes envolved...Wooooo Hooooo!!,1,0
I continue to be very impressed with the treatment plan for the Cyberknife compared to other radiation treatments and continue to be apprehensive about the Robotic surgery for the potential side effects.,1,0
