Sentence,Trust,Split
I am so very sorry that you got that very unwelcome news.,0,0
This is great rene9 ...no more chemo...no more rads...now your hair is comin back...and surgery for new softies in a couple months!!!!,0,0
I'm the one nibbling on that chocolate bunny!,0,0
So I made my appointment and went to see the breast doctor.,0,0
The docs themselves seem to have no real time to tell us information and I'm hunting for stuff all over.,0,0
I actually have scans done on the 19th :(  I'm always a nervous reck a couple weeks before a scan.,0,0
"I too have young children, and it is difficult to help them understand somthing when I, their father cannot.U r doing the best you can... trying to stay positive is difficult.",0,0
I trust my friend and I met his Aunt  but still I am nervous    has anyone heard anything about this stuff?,0,0
"They did an echocardiogram and it showed a little bit of fluid around heart, but they did not talk like it was big problem.",0,0
"the key words are ""TAKE CHARGE OF MY LIFE"".",0,0
Just thought I would send you more prayers and hugs today <PERSON>!,0,0
and wishing you many more to come!,0,0
Sorry about the need for SRT.,0,0
I'm very sorry to hear of your cardiac problem.,0,0
Those chin hairs are resilient!,0,0
It has not spread yet and become invasive ductal carcinoma IDC or invasive lobular carcinoma ILC.,0,0
"He should think of chemo as a wonderful weapon, and chemo is a good thing.",0,0
"Everyday we hear of someone who has been diagnosed with cancer, and were are a very small town (11,000).",0,0
"Still did not hear from the Oncal man, I will call back angin today.",0,0
I went to their site and ordered the free bracelet.,0,0
Otherwise I feel great but I wonder if it is the steriods keeping me upbeat and energized!,0,0
I have had a lumpectomy on my left side and a mastectomy on my left side.,0,0
I found that sleeping with a humidifier next to my bed helped me after I had 1/2 of my lung removed.,0,0
So glad we all had time to be there with you today....we await results!,0,0
ASGI am not so sure if you are at the proper forum to get help on your feelings.,0,0
He has 9 spots on the lungs and 11 on the liver.,0,0
I think that is so cool!!,0,0
Had VATS with removal of my lower left lobe and several lymph nodes.,0,0
Your hair color is still beautiful--it matches your complexion so well.,0,0
Stay strong and hang in there brother.,0,0
But you're worth it.Hope you're having the best birthday ever.xoxoVictoria,0,0
"If you think you are at risk, go see a doctor.",0,0
As caregivers we need to find an inner serenity in order to do the carin that we choose to do.,0,0
- I'll check it out - it amazes me how many women are going through/have gone through this.,0,0
"I threw the MRI suggestion out to one doctor already this year, and I was told the false + rate is too high.",0,0
"I also have COPD, emphysema, to be exact.",0,0
"I turned red all over, with little white bumps and it was very itchy.",0,0
A good makeup foundation will cover most of it.,0,0
"Hi everyone, I just wanted to post the incredible news I received yesterday.",0,0
"The mornings are the worst, forget about a good nights sleep.",0,0
Here she put it on bassakwards.,0,0
Your answer sounds like it may be the biggest reason cancer patients aren't offered a transplant.,0,0
I am raising a 16 year old grandchild and didn't want her to see me not being strong.,0,0
I am hoping and praying he wont suffer long with it.,0,0
I thought I was losing what's left of my mind!,0,0
I also had one lymph node removed with clear margins.,0,0
I know what it's like to lose a parent.,0,0
I am so glad to hear that things went well for you today!,0,0
My prayers and sympathy to you and her family.,0,0
"Recently, we lost our dear yellow lab Bodhi to cancer.",0,0
I lost my job in the middle of the treatment and decided on not filing a lawsuit  against my former employer.,0,0
My doctors would opt to do everything possible to eradicate it.,0,0
I have been just given my news and just looking for as much information that i can get to make the correct procedure for myself.,0,0
"bone pain - lost of balance, flu symptons that lasted for days.",0,0
"The catheter didn't hurt, just a little uncomfortable.",0,0
They will check you every hour or more while in ICU.,0,0
I am at least stage 3 as it is already known to be in nearby lymph nodes.,0,0
"I really dont want this big surgery, I feel like using cyberknife or gammaknife along with radition/chemo would probably do the job.",0,0
"Hello Shelly,
I was diagnosed with NSCLC in January 2005.",0,0
I did taxotere and carboplatin at the the same time so not sure which gave what side effect.,0,0
Wishing and praying the very best for you!,0,0
seem optimistic because the cancer is slow progressing.,0,0
This week is not a good week for her to chat though.,0,0
I would like to hear from ANYONE who has had <PERSON>al experience with this lung surgery...,0,0
"But, am excited for all of you, nonetheless!Kind regards, <PERSON>",0,0
It is nice to hear some thing good once in a while.,0,0
my dad was diagnosed with lung cancer with a met on his spine last month.,0,0
i will be sharing this site with my siblings when they visit today.,0,0
I have found that each spevialist reccomends his /her specialty.,0,0
Im really worried and scared but this experience made me closer to God.,0,0
I am trying to get some hope on maintenace therapy.,0,0
I am 57 with adult children and grandchildren and am not wanting to worry them.,0,0
I've been told that about 40% of the women that have the tram wind up with a hernia.,0,0
I am happy for you and wish both you and <PERSON> the very best.,0,0
"Today was a better day, for no good reason at all.",0,0
"I also have a snack from the center, they provide a nice assortment to pick from and I have a Dr Pepper :)  The one time I didnt eat before I was very very sick that night, and its the only time I was ever sick -- knock on wood, doc just ordered 3 more rounds for me :)",0,0
I start boosters next week.,0,0
"Thank you, it is so devistating....so much hope with remission, even with knowing how nasty SCLC is....and here we are...so quickly.",0,0
I'd love to maybe be able to help you through your feelings.,0,0
Enjoy your free time now!Sue :),0,0
The people here are very supportive and knowledgable.,0,0
Great news on all fronts Kathi.,0,0
"""Good to know.The little mutated bastards dont know when to die, can't produce serum sometimes... but they sure can  replicate.",0,0
I also had cells floating behind my tonsils.,0,0
"My father in law is 77, but a very active 77.",0,0
I dont want to scare you but dont think all doctors give you the correct advice.,0,0
We need all band together and find a way to get to Washington ... We need to have our voices heard .. <PERSON>,0,0
She was diagnosed earlier this year and we thought it was gone but now it has come back.,0,0
I had genetic testing and found out I had the BRCA1 gene which greatly increases the likelihood of recurrence.,0,0
"I have read all your posts, I know that a couple of you have been through similar instances...maybe not with a daughter, but with a family member or friend.",0,0
"Was mainly tired , flu like symptoms for about 3-5 days.",0,0
We were discussing Iressa  Look under need help!!!!,0,0
"<PERSON> said  ( for ""high grade ""PIN)",0,0
I had 1b had upper left lobe removed.,0,0
"hey guys, it's just about more than I can handle now.",0,0
"Most of the time I don't feel anything when the needle goes in and the nurse is amazed that I didn't even ""twinge.""",0,0
"My doctors, including the one at <PERSON> have called this skin involvement as metastatic breast cancer and it is staged at IV.",0,0
Wish I could have been there.,0,0
I am worried about going back to work though.,0,0
"Also my dad recently lost his voice has 4 lymphnodes pressing on left vocal cord, did the rad.",0,0
"I alway's brought a project, and a fun positive friend along.",0,0
Some chemo can actually hasten the end because of how people react to the chemo.,0,0
"I just have so much nerve irritation in the left arm, armpit and left ribs that I'm becoming impatient.",0,0
Just don't let it interfere with spending time with your dad.,0,0
"I know that they expected that I would be uplifted by this, but I was curious as to why they were saying it.",0,0
"Maybe thats why doctors said there is nothing they can do for him, if he wouldnt help himself.",0,0
"My doctors prefer the phrase 'no evidence of disease'.In any case, this is excellent news!",0,0
"Share stories with your children of how you and your wife met, how you fell in love, and how much she loved her children.I will keep you in my prayers.<PERSON>",0,0
I guess they might try to get at mine thru the mouth.,0,0
He also has a spot that showed on his PET scan under his left armpit.,0,0
I'm praying for you my sister that the 10% turns out to be 100% Great News.Sending giant hugs and positive vibes your way!!!,0,0
I was prepared for hiccups with chemo since that was my dad's biggest problem yea number of years ago when he was treated for non-hodgkins lymphomana.,0,0
Thanks - Actually it didn't taste as bad as I remembered it.,0,0
There was no way to save my left breast.,0,0
"There is a lucky sister who may get more than one ornament~ if I don't hear from her secret ornament elf, I will ""assume"" ( dangerous, I know!)",0,0
Had 2 rounds of chemo and one round of radiation.,0,0
"My fatigue hit about half-way, but was manageable....just a 30 minute to 1 hr.",0,0
"I have already started to change my diet and already feel good, while still undergoing chemo.",0,0
"My mom wasn't ready for details, but my sister wanted every last bit.",0,0
Sometimes there is no user means to over-ride these automatic changes,0,0
I think I have become a hypochondriac since my surgery lol.,0,0
"I didn't have chemo, but, I am sure that makes it even worse.",0,0
CyberKnife will only destroy 14 mm to get the 11 mm nodule.,0,0
Now they start at about 4pm and last untill about 9pm.,0,0
I am a woman and you do not sound like you are.,0,0
"Nothing stops the pain, uncluding every imaginable pain medication.",0,0
Hi i wanted to ask if there is anyone who has been diagnosed with small cell lung cancer that has spread.,0,0
Stay by your mom and offer her smiles and hugs.,0,0
"Your right,, doing an MRI Guided Biopsy is cutting edge, the state of the art.",0,0
She died from heart disease at the age of 40.,0,0
I AM GETTING A STEROTACTIC BREAST BIOPSY DONE THIS WEEK.,0,0
"I am 36, was diagnosed last year with a IIIA ductal invasive BC with 3/19 positive lymph nodes.",0,0
"Whew, one down and 3 or 5 left to go.",0,0
I'm also laughing out loud.,0,0
"Yesterday, I noticed the hair is starting to fall out.",0,0
Hope you are having a wonderful birthday.,0,0
"Efgr and kras were negative, but the alk was positive.",0,0
These can be great to prevent cancers but not when you actually have cancer.,0,0
"I know this must be hard on you with your friend, but, try to think positive and we will be praying for him.Keep us informed to what he finds out.Hugs, Kylez",0,0
"LOL Teena, me too, I hope it doesn't take all that long or we will all be in trouble,  Hugs, Lili",0,0
"<PERSON>, Thank you for your # I will let my dad know that there is someone out there that would talk to him if he would like that is going thru the samething that he is.",0,0
God bless and I will pray for you.,0,0
Hi carkris and welcome to the site.,0,0
You are a strong individual so I have no doubt that you will fight with all available ammo and be victorious once again!,0,0
"I have a fairly large group of family and friends praying for me which brings me great comfort.Stay well,
<PERSON>",0,0
We are in the UK and understand that treatment in the USA is far more advanced and would consider travelling abroad to improve my mums chances.,0,0
"I am now off all oxygen, and the tumors are all but gone.",0,0
If you had gotten the prescribed dosage you may have died.,0,0
Hope you will be able to attend but understand if you can't.,0,0
My mom was offered radiation to the brain only!,0,0
Thanks Carole and thanks for all your repliesI just found this site and thought i would share my good fortune with you and i must tell you i am 71 now and expect to live a lot longer as 14 years ago when i was diagnosed i thought my life was over and i must also tell you the consultant/surgeon told me i was a star having survived this long but i had to say to him he was the star that made it possible--he just smiled--best regards,0,0
Tell your dad that you love him as often as you can.,0,0
I feel these are good folks that bring valuable insight/research to the forum and hope that they would stop their critiques of each oher but continue their helpful input.,0,0
I do hope you talk to your Doc again and see what else can be done!!,0,0
Is there any positive test showing metastases?,0,0
I'm a teacher and I went back to work today.,0,0
"I was able to get out of bed, but had problems walking very far.",0,0
Good thing I am neither drunk nor running through a cemetery right now~ I am laughing so hard at this joke that I am glad I am home so that I don't pee in my pants!,0,0
"None of us know when our day will be, but we must love and live to the fullest no matter how hard.",0,0
Thats when I decided just to shave my head.,0,0
i'm sorry the lab results and pain aretroublesome for you.,0,0
"If you did have an effusion, how was it diagnosed as benign?",0,0
I know the wonderful feeling of being done with chemo - it was the hardest thing i've done in my life.,0,0
I had an 8 cm tumor in my left lung and a baseball size tumor in my lymph nodes in my neck.,0,0
I feel like im always sick to my stomach.,0,0
I buy a bag of frozen raw shrimp.,0,0
"Becky, hopefully someone with experience on this subject will respond soon.",0,0
"There is a place to do this - your user account page has a section to post ""resources"", post pictures, etc.",0,0
My father died from this insidious disease at age 73.,0,0
My wife has no mutations so how is it she has cancer?,0,0
Always question even a doctor they are not god...........,0,0
Obviously the sharper and clearer those images are the better.,0,0
I'm scared that he will not be able to handle the chemo because of his age and having TYPE 2 DIABETES.,0,0
Good for you............we are all soooooooooo proud of ya!,0,0
He said we got good clean margins and all the removed nodes were negative.,0,0
I said yes for another 18 mths or so.,0,0
"Taxol causes terrible, painful neuropathy of feet, legs and hands.",0,0
Prior to the Opdivo i had 3 cyberknife sessions on a left lung spot 12mm.,0,0
Just received news of small cell lung cancer.,0,0
I was on a low dosage of medication for awhile and then quit as I thought I could handle it myself.,0,0
I keep trying to keep my head up and trying to take life one day at a time.,0,0
He always loved spring and at night in summer we'd sit out till after dark on our patio so I really miss that.,0,0
"Since I am in long-term-followup with him, he did not require a consultation, and actually gave me a call on the phone.Decision: The IGRT described above.",0,0
The study is suppose to show that these drugs will help stop a mestasis to the bone.,0,0
"Damp,I had never before heard of your surgery until you mentioned, it, but read a bit on it since.I suspect that your incontenence is wholly related to the bladder surgery, since I've never heard of a similiar situation here, which is usually focused on PCa and related problems.I would pester the urologist about what, if anything, can resolve your issue.max",0,0
Only you can decide which is best for you.,0,0
"It's the hardest part of the ""game"" isn't it?",0,0
It is a HUGE success!,0,0
Two youngest grandchildren are staying overnight with us while their parents go to a party.,0,0
Sometimes unfortunatley the insurance companies dictate more than we know.,0,0
"This is a great place to just read, ask questions, vent, scream, cry, all of the above.",0,0
"I guess what I'm trying to say, is I'm really scared, I don't know what to do.",0,0
"I don't know the answer to your question ... but would like an answer too!Good to see you, posting, Sherik.",0,0
I am then going to leave the room and you seriously think about how those words hurt me.,0,0
I was one of the chocolate martini gals.,0,0
I've been an emotional wreck the last few days and can't seem to shake it either... Maybe all us emotional gals should get together with a giant box of kleenex and some ice cream and just let it all out...,0,0
Traditional MRI and CT hardly detect cancer of small sizes.,0,0
On top of <PERSON> he was also a diabetic and that was getting out of control.,0,0
My husband had to take me to the emergency room.,0,0
A fun step (no pun intended - tee hee) towards Life After Cancer!,0,0
"the ingredients will help him get stronger than if he is on boost, and once stronger he will have a better apetite",0,0
"I will pray for you and your children, that you will find peace in all of this.She was a great fighter.My dad has Stage IV NSCLC.I worry every day.",0,0
"But I no longer drink soymilk daily and I avoid ""health bars"" with soy supplements.",0,0
A nurse suggested to him that he self cath and he reacted strongly and negatively to that suggestion.,0,0
Surgery will be next with continued HP infusions until December.,0,0
Did not have my first post op orgasm yet.Surgery ruined my whole life.,0,0
"As others have acknowledged, you are missed in your absence.I value nothing more than hearing from someone such as yourself that I have written something that puts a smile on  your face.",0,0
A grant will cover your travel expenses and time.,0,0
So please do not take that as a sentence.,0,0
We are all different and yet the same.,0,0
So if you have Ativan I would try that.,0,0
With all I have heard bad about it I am afraid to get it.,0,0
My name is <PERSON> and I think it would be great!,0,0
"Always think positive, like the glass is half full instead of half empty.",0,0
"Love your Sister in Pink,IRENE",0,0
I had post-op chemo and radiation as a preventive measure.,0,0
Anyone else with this type of problem  <PERSON>,0,0
Oh I want some of those chocolate martinis!,0,0
"<PERSON>, please post and tell us what you find out at your doctor's.",0,0
"I just wanted to say that you are all brave and I wish for you all health and peace.Take care and God Bless You All.........Sincerely,Kado",0,0
I had left masectomy in 94 at age 38.,0,0
You will be on my prayer card daily.,0,0
"But, knowing it was caught early is a blessing!",0,0
"I hope you have 5 more and then 5 more and ...well, you get the picture ;)",0,0
"“ A pleasant, unfortunate young woman.”  I found it humorous.",0,0
Good day and I hope you had a nice Christmas.,0,0
"You may remember my telling you all a few weeks ago that our minister and I were offering a Sunday worship service honoring everyone whose lives have been touched by cancer, and to talk about how this month of pink ribbon mania feels to survivors of other forms of cancer.Our “Surviving October” service was this morning, and was inspiring and moving.",0,0
I haven't heard of this but I'm sure this is probably not the first time a scan was misread.,0,0
Good luck on your journey.,0,0
ive been working on it but i heard goods new today  about her condition and that alone gave me alot of hope,0,0
"My dad doesn't want her to do it, but she wants to try it.",0,0
Last shot has been delayed 30 days due to other complications.,0,0
"Results came back that there were between 5 to 7 masses in her brain, one on her pelvic bone, and a small mass on her adrenal gland.",0,0
In February 1998 I had my left lung removed due to nsclc.,0,0
I then had 36 radiation treatments to lung.,0,0
She has been receiving radiation for about a month now.,0,0
It has been a rough almost two years and cancer has run our lives.,0,0
"We're struggling here...
thanks
-pat",0,0
Im scared but trying to stay strong and positive.,0,0
I hope this will be the last one and radiation will do the trick.,0,0
The advantage with radiation is that it is localized and not systemic like chemo.,0,0
I had a 7.3 cm mass in my lung and they told me with great certainty it was lung cancer.,0,0
"Just got used to living one day at a time, now I feel I'm living one hour at a time.",0,0
I'm having rads to my left breast thanks MollyZ,0,0
it works in conjunction with a current pet scan that it's computer reads and applies an array of targeting angles.,0,0
Happy Anniversary.... wow 24 years... now that is worth celebrating!!!!!!!!!!,0,0
You will fill much better once you get your count back up.,0,0
"He is always throwing up, not eating without a PEG tube, and is too tired to walk from one side of the room to the other without either falling or being extremely exhausted.",0,0
I hope you will stay in touch and let us know what you find out.,0,0
When you need the street goth the most to orchestrate all of this you just do not have it!,0,0
This cancer spread to the brain which then took her life.,0,0
"It is easy for someone to tell you not to fret over it, since nothing can be done until Monday...but that does not help!",0,0
wow that was truely beautiful what you wrote!,0,0
"I'm sure he is not taking the meds correctly, as he seems to be always in pain on the left side of his chest.",0,0
Definitely sending thoughts that things r painlee and peaceful.,0,0
"In the future it's not supposed to be a 4 hour cruise (<PERSON>'s Island), should be shorter.",0,0
"I never had a father, my mom raised 4 kids on her own, without child support.",0,0
Are you going to be talking <PERSON> weekly?,0,0
"Last october, i was diagnosed with stage 2 on the left breast.",0,0
Is this long recovery normal?,0,0
I don't know how to help you other than to just give you my story and pray for you and your father-in-law.,0,0
Her prognosis only changed 4-6% by doing the chemo so the doctors left it up to her...,0,0
I had an upper left lobectomy 16 mos.,0,0
This site has a help line that is monitored 24/7/365.,0,0
they did a scan to see if the chemo was working and they said it isn't.,0,0
"Everyone, thank you so much for your responses - I carry you in my heart (to steal from e e cummings) - I read this site most everyday and send all good wishes to you for your kindness and support throughout this ongoing journey -and my thoughts are with you as we travel this sometimes bumpy road together - Connie.",0,0
I tried to reply but the site is being screwy...,0,0
"It is only obvious I had a lumpectomy, but I tell them anyway~ and they always put a ""bandaid"" over the scar so that the radiologist knows it isn't  a concern, but a scar!",0,0
"It does help, we cry and share our lives here and it means a lot!",0,0
When that happens--even just an hour on the couch watching tv helps me.,0,0
Does anyone have any good ideas to help this?,0,0
God bless you and keep you!,0,0
Of course we will always respect and support her decision.,0,0
September 11 my husband had a PET that showed little to no change.,0,0
I'll bet they have some sort of meetings there.,0,0
"I told him and ask why, he said I'll tell you when he comes in.",0,0
i hope that you are not giving up on treatment.,0,0
I have a floating jaw so double whammy.,0,0
Gather info and make your most educated decision.,0,0
The cancer showed to be contained in my breasts before the surgery.,0,0
"I've had 2 surgeries - the first in December, 2004 in which they just removed the tumor and said it was benign.",0,0
"Personally, I find that the silicone prothesis looks and feels very normal.",0,0
"The three types are EGFR, ALK and <PERSON> there is an EGFR match, he could be treated with a pill while staying in Atlanta.",0,0
Thank you so much for forwarding the link to this article.,0,0
One thing about cancer cells is that they don't stop growing when they reach a certain size.,0,0
I know I am suppse to be grateful that I am still alive but what about the quality of life.,0,0
"It seems there are several others that are going through radiation treatments now, besides me, and I thought we might like to post how we are doing, tips or hints or just anything.I hope everyone will post on here if they have advice or tips for radiation.",0,0
Are there any other chemo drugs we should try?,0,0
He did 5 weeks of radiation at a high dosage which further weakened him.,0,0
I am so desperate for help understanding this whole thing.,0,0
Seems to me that Urologists always want to cut.,0,0
"Had port placed this morning,was scared but doing ok.",0,0
I had no idea constipation could be so painful.,0,0
"I read that cancer brings in 210 billion $ a year, is that right?",0,0
I was happy to know someone else was doing this too!,0,0
"Sometimes the conversation takes many differant directions but any time the subject of cancer or a question someone may have about treatment or cancer in general,it seems to get everyones attention.",0,0
A lower gleason and proton therapy would have been my preferred route.,0,0
"Good gosh, J - do my eyes deceive me?",0,0
"I know it is temporary and that I am just going through the ""down"" part of the ups and downs.",0,0
"So, please level with me.",0,0
Many different things can cause lung problems besides cancer.,0,0
They say this lump did not appear on the xray then... How could that be????,0,0
"For the lumpectomy, my nurse was wonderful and very maternal.",0,0
I left my moms house in a daze.,0,0
I lost so much weight and was treated for post traumatic stress disorder.,0,0
and i have asked him i need to know the lab test results.,0,0
"It's so incredibly difficult to not have the answers, and not know how to help.",0,0
The doctor has decided to put him on <PERSON> and something else to see if it will respond to that.,0,0
"It's time to learn to put your hand up to your forehead, give a heavy sigh, and say ""peel me a grape!""",0,0
"Just listen to your body, it will tell you if you are pushing to hard or not.",0,0
Prolia also has side effects that can be uncomfortable at times.,0,0
My wife had large cell poorly differentiated lung cancer.,0,0
"I was diagnosed 8/2010, Stage 1, Grade 3, no nodes (at age 57).",0,0
A tumor about the size of a grapefruit was on my lower left lung.,0,0
"A true inspiration to so many.Best wishes,<PERSON>",0,0
The cancer was more invasive than expected.,0,0
So tell them your fears and start the battle now.,0,0
I had FEC x3 and taxotare x3.,0,0
and enjoy all the love you provide.,0,0
It is now the size of a quarter.,0,0
Both my surgeon and oncologist felt that my prognosis would be the same for mastectomy vs. lumpectomy + radiation.,0,0
My dad just finished his first round of chemo.,0,0
"I am still having problems with incontinence, but is is getting better.",0,0
We've been there and know what the fear and uncertainty of the unknown is like.,0,0
We often wonder what her quality of life would have been with out the chemo and radiation.,0,0
"I am so sorry that you had to find us because of your mom, but you will always be welcome here.",0,0
He is very depressed its only been 15 months since we lost mom.,0,0
If I don't sit for long periods than I am better but it is hard to get moving some mornings.,0,0
You may feel an inability to draw a deep breath.,0,0
"I am not exactly healthy, but I am very much alive and intend to be for a long time.",0,0
He is eating a little but in a lot of pain.,0,0
"My mam was diagnosed with lung cancer with mets to brain (shortly after my dads diagnosis) the tumour has been removed from the brain but she hasn't started any other treatments yet, she will be getting a PET scan in the next two weeks so if the tumour in the lung has reduced I will keep you posted, but again the oil has helped with sleep and appetite.",0,0
it is so sad that insurance companies ignore the facts.,0,0
I hope that you can see too how this is a good thing that he is gone now.,0,0
"Honestly, my feet are killing me from too much celebrating,  LOL.",0,0
"I am not sure how to tell them, considering my step mom just lost her battle after fighting it for 5 years.",0,0
to his or her music.,0,0
This morning I had to blow my nose and was somewhat surprised to find that my output was entirely bloody.,0,0
"this is a miracle for sure,thak you for responding..god bless,patty",0,0
i'm scared for my kids.as well as for me.,0,0
"But the truth is, most people do t know much about them.",0,0
I just would like any ones help or feed back.,0,0
Starting 5 straight days of radiation next week.,0,0
"Chin up we are here for you and will more than willing to listen to you vent when folks push those thoughtless buttons.Hugs,RE",0,0
"<PERSON> you got out to enjoy time with your family,please do that as much as you can & enjoy the company of your friends.",0,0
My eyelashes are coming back in very slowly.,0,0
"But, I am concerned that you will only be seeing the doctor once a year if there are nodules in your lungs.",0,0
I feel it and appreciate it!,0,0
Thanks for the replies guys!,0,0
"That's a good sign, having a normal brain!!",0,0
"I'm on permanent disabily which is a blessing, don't want to even think about haveing to go to work.",0,0
And I am so glad we did.,0,0
Daunting is right and I'm hopeful it goes away soon.,0,0
I have an appointment for an MRI brain scan on monday and that scares me a bit.,0,0
"Fortunately, mine is a very mild case, but causes side effects that will drive you nuts....constant tongue movement, and mainly anxiety.",0,0
It could just be the cooler weather too.,0,0
I was diagnosed in October 2009 at age 53.,0,0
I put numbing medicine on it before labs but even without numbing medicine it's like a tiny beesting or less.,0,0
I have made it three days straight now.,0,0
Well other than I'm in the Black Hills area.,0,0
chiming in with everyone wishing you the best!,0,0
"In my case, a chest x-ray showed a mass in my left lung.",0,0
If you need anything else just let me know.. you are in good hands here... wonderful website...beautiful people to talk to and get some great advice from...((((hugs))) Lisa,0,0
But the surgery is considered the 'gold standard' by every source I found except the radiation oncologist - she was driving home that I had a 70% chance of success.,0,0
"Just chiming in with general frustration...Certainly, I'll be hoping this will be resolved with as little $ coming out of your own pocket as possible.Frickin' insurance companies!Kind regards, <PERSON>",0,0
She was always so upbeat even though she had so much going on.,0,0
I had the two lower lobes of my right lung removed in October and the lab reports said the cancer was all dead.,0,0
Swelling and clots happen quite frequently with cancer.,0,0
Biopsy results can take anywhere from 72 hrs to 1 week.,0,0
I reached to this board for direction and to learn about experiences everyone else has had.,0,0
as you've gotten so thin .. on that <PERSON> program you are on !!!,0,0
"If you emphatically insist on believing such bull carp, then so be it, but to espouse it as some miracle solution here is ridiculous.",0,0
Google his name and add ED and you will be able to find the videos.Good luck and best wishes as you move forward.,0,0
We were horrified to hear that some of the tumors got larger but he now has a mass next to his spine.,0,0
Best wishes and have a Happy and healthy New Year.,0,0
"I was initially diagnosed as non small cell lung cancer (NSCLC), stage 3a.",0,0
I proceded with surgery & radiation.,0,0
She will be starting chemo in a few weeks Taxol and <PERSON> are what the doctors plan on using for her treatment.,0,0
I was there for an hour or so.,0,0
I wish I wasn't so overcome by fear but the support and stories on this site is unbelievable.,0,0
"They start with a blood sample, do some magic with it, and then put the special stuff they made back in.",0,0
"Because with stage IV and others stages, the cancer is in the ""system"" even if NED because we are never cured they say.",0,0
Going through my throat to take a lymph node from my chest.,0,0
Cannot find others and am experiencing  a troubling difference among Dr.'s treatment plans?,0,0
Finding out what worked was truly trial and error and don't be afraid to try weird stuff.,0,0
"In the mean time, if he has an inhaler he should be using it to help increase the lungs ability to breathe a bit deeper.",0,0
