Sentence,Joy,Split
"Yes, it did say 3mm for certain.",0,0
lol  I just tried to nap and let the drugs do their thing.,0,0
"When I was diagnosed, there were two doctors at UCI who did robotic surgery, one was covered by medical insurance and I think appr.",0,0
"SHE WANTED TO DO A PARTIAL MASTECTOMY, FOLLWED BY RADIATION, I WAS ACTUALLY SCHEDULED FOR SURGERY ON MONDAY APRIL 15TH.",0,0
I have young children too and can't even imagine how she also must feel.,0,0
"But I'm wondering, am I the only one that can feel the pump rubbing the bottom of the inside of my scrotum?",0,0
I will be flying in June-curious to see everyone goes through it like metal detectors etc..,0,0
I had to have chemo first because the tumor had to be shrunk or I'd need skin grafts at surgery.,0,0
"Went from 4 depends the first day, to only 2 depends the next.",0,0
She bugged us every hour of the day.,0,0
I have not worked in over a month and focus on her every need.,0,0
When I got so sick I started thinking the worst.,0,0
"Just wondering if there is another element out there than can alter HCl without spiking blood pressure or burning like vinegar.Also, you can check out H2 blockers as an alternative to PPIs, like Zantac or Pepcid AC.",0,0
"Hi Guys:  About SS, disability or any other assistance.",0,0
She spent 7 weeks in the hospital (4 in ICU) and it was at this time that I was diagnosed with PCa.,0,0
Of course my testosterone is only 67 but at least the man moobs went down a little and no more hot flases.,0,0
"hey guys, it's just about more than I can handle now.",0,0
I noticed that I started getting rashes when I worked in the yard.,0,0
"May God give all of you comfort, courage, love, healing and the will to get past this disease and conquer it.",0,0
"My left lung tumor removal was similar to yours just one drain tube, vats assisted with a 4 to 5 inch incision.",0,0
"After what you have been thru, you can count of pain.",0,0
"The consumption of information has been exhausting, not to mention the sorting of biased vs objective, and I am still doing it as we I type.",0,0
Had 14 lymph nodes removed that were all negative so no further treatment.,0,0
They also put her on a drug that was just approved by the FDA for sclc mets to the brain in August called temodar.,0,0
"I am here because I am learning from my sisters and brothers here, and at times in my journey, I needed so much.",0,0
"My five year old barely gets it, my 16 year and my 20 year old is trying to be supportive.",0,0
My sister was recently diagnosed with small cell lung cancer that spread to the liver with numerous spots on the liver.,0,0
"Numbness, tingling, and sharp prick sensations sound like neuropathy, a common side effect of at least chemotherapy and possibly also radiation.",0,0
in one day I did lab xray and them oncologist.,0,0
"They don't have to be an RN....an LPN can give it..  Or perhaps you could take it from your local family doctor's office.....IF all else fails, call the AMC and ask for assistance......Good luck and Peace be with you",0,0
I had a non small cell tumor in my left lobe.,0,0
She / we tried everything possible from conventional treatment to radical clinical trials.,0,0
You were treated for what was presented to them.,0,0
I was prepared for hiccups with chemo since that was my dad's biggest problem yea number of years ago when he was treated for non-hodgkins lymphomana.,0,0
The higher the number the more likely the activity is related to a cancer.,0,0
"I remember that first week, I would shake uncontrollably after I showered.",0,0
Yours seems to be the gift of service and that's a very good thing although I can only imagine the stress it must put on you <PERSON>ally.,0,0
There was no way to save my left breast.,0,0
"Hi BD, as a registered nurse, I can tell you that this is a very common finding.",0,0
Had 2 rounds of chemo and one round of radiation.,0,0
This is a nasty disease and we can only hope and pray.,0,0
"If the cancer is found early, there is a great deal that doctors can do to help your grandpa - which includes curing him.",0,0
I had NSCLC and half of my left lung was removed.,0,0
"The SE were there, but I just kept taking the drug.",0,0
If I am diagnosed I will be planning on living with someone who can assist.,0,0
"Took her to the hospital and found her white blood count is extremely low along with loe hemoglobin, potassium, magnesium.",0,0
I wish they had given hand outs because my own brain is distracted.,0,0
I can only imagine how difficult this must be.,0,0
"Am I going to be able to keep working during treatment?I'm sure you can add more questions specific to you, this is just a basic outline to get you started :) You might also want to ask him to explain the PET scan results in plain English, as well.",0,0
I was lucky mine were grown and left the nest.,0,0
"When you talked about the husband, I knew exactly what you were talking about, I had one several years ago and gave it away.",0,0
"I have figured out the ""Pink Sisters"" idea; but I am not at all sure about the Pink Bus:  what it is, what is its purpose .",0,0
"Just remember, you are the better <PERSON> and I think we all look marvelous going through treatment.",0,0
I was basically forced fed because I didn't want ANYTHING.,0,0
I have a meeting with my oncologist in about 10 days and I have a question.,0,0
I guess the worst part was feeling there is no one to talk to and no one that actually understands.,0,0
"I had quite enough of their crap, so me and my partner quit.",0,0
My concern is he is gaining 5 or 6 pounds a week.,0,0
I also suggest getting into a lung cancer support group.,0,0
Two nodes were taken and they were both negative.,0,0
Second round had to be interrupted due to side effects.,0,0
He is also fluent in twelve languages.,0,0
A PSA graph of Cancer is represented more as a continuous upward curve.,0,0
"By the way, he is taking a lots of herbs too.",0,0
I have been trying different pillows and different chairs for using the computer and I think it is helping some.,0,0
Lets see how it goes.,0,0
"But, after going through bc, the thought of another cancer would scare me too.",0,0
Hi Girl....so today it looks like you were having your <PERSON>?,0,0
"The 12 weekly Taxol (Paclitaxel), though, was horrible.",0,0
I'm anxious to hear how you make out.,0,0
Geting  help  from social worker and it realy helps me.,0,0
Never dreamed it was cancer growing.),0,0
"names, specifics, dates, path reports...put your money where your mouth is.",0,0
"And it DID help for about a year, but then the hot flashes kept increasing.",0,0
Our lives will never be the same without him.,0,0
It is very overwhelming being diagnosed with cancer.,0,0
It is nearly 9 months since I had my first (and last) HT three month injection.,0,0
It helped keep my mouth from getting dry.,0,0
i make 15 cents more a hour and i live alone.,0,0
I called and left him a message thanking him.,0,0
"two days before my scheduled lumpectomy, i had an very acute gall bladder attack.",0,0
I used Aquafor skin lotion/gel  (over the counter)for radiation side effects on my skin.,0,0
"I, too, am so tired of being tired and sick.",0,0
Doing a CT scan on Monday to see what's going on.,0,0
She was diagnosed on April 9th while being 26 weeks pregnant.,0,0
She had CyberKnife done and was told in December that the tumors were shrinking and cells were dying.,0,0
My chemo worked when it returned 2 1/2 years later.,0,0
Your physician should order a lab test to determine eligibility for <PERSON> treatment.,0,0
Wondering if you'd spoken with your onco about your results yet also.,0,0
I will take care of the gas so that we don't run out this time.,0,0
Our stories are not so different I took my mom to the Er on Christmas Eve 2009 with the same symptoms we thought she had a stroke but it was nsclc and a tumor in the brian .,0,0
The wait was killing me and then I get to the Dr. and they forget me.,0,0
Let me how it worked out for you.,0,0
"I've started using <PERSON> home which my doctor told me about, https://www.ebay.com/itm/162088538387LifeMel (Life Mel) - Chemo Support Honey",0,0
" Dear C. Abbott  Thank you Sweetheart for the reply back, I believe the Steriods taken with the Chemo is causing her to have unbearable pain.",0,0
My oncologist told me I could begin taking tamoxifen after chemo and during radiation or I could wait until radiation was over.,0,0
"Such a sad thing, I will keep her and her family in my prayers...hugs alison",0,0
"Feels great, doesn't it?Sue :)",0,0
"im scared for her, scared for me and i just want to be informed, so doing a lot of edumacating myself.",0,0
"Next Monday he has another CT but we do not get the results unti,l the following Monday.",0,0
I will be praying that your Brother will have a full recovery.,0,0
So there is no kind of help that when you get sick and can't work they help you live and give insurance?,0,0
It'll be 3 years since diagnosis in April and I'm still doing mammos that way.,0,0
"The pain was well-managed, except the day after surgery when they mistakenly took my pain meds away!",0,0
"Having his 2nd chemo next week (Carboplatin, Alimta, & possibly adding <PERSON>).",0,0
"It has spread to both lungs and lymph nodes, liver and kidney.",0,0
"That under the facade of 'normal' these people present, there is always something.",0,0
"As others have acknowledged, you are missed in your absence.I value nothing more than hearing from someone such as yourself that I have written something that puts a smile on  your face.",0,0
"Not every chemo regimen causes hair loss, but many do.Even though your mom doesn't speak much English, most hospitals and offices use the ATT translator service, so she can ask for translation (or you can for her).You guys have a lot to take in and are probably still in shock.",0,0
Has anyone had this pain and do they know how to get rid of it?,0,0
In reading some of the messages I noted that so many suffer from nausea during treatment.,0,0
"People who would pray with and for me, and just listen when all I could do was cry.",0,0
"Yes, my brother did, I have now told him four times.",0,0
"<PERSON> and Taxotere are both taxanes, but <PERSON> does not cause permanent alopecia.",0,0
This is what they are calling moms weakness in her legs.,0,0
I think I was dealing with all okay until I got diagnosed with the ONJ.,0,0
i was diagnosed april 2009  on my left side .,0,0
Hope all is much better for your hubby.,0,0
"Thank you catcon, I am happy to be able to post good news that may give others hope and encouragement.Take care and stay strong,
<PERSON>",0,0
I am less scared by you having shared this with me.,0,0
"“...First, in men with high-risk disease at diagnosis, the cancer is still limited to the pelvis in three quarters of men and potentially curable with radiation.",0,0
hello i am 46 yrs old i had lower right lobectomy at cleveland clinic done may 29th 2014 i have been having several different types of pain and noone can tell me if its normal or is something wrong i have numbness under right breast stinging pain also ribs ache now recently i have been having chest pains on right side that gets intense at times and sometimes feel like i'm being shocked the doctors didn't think it was cancer they orinally thought it was a benign carcinoid tumor even had PET Scan showed nothing after they went in to do wedge resection they found out it was stage 1 adenocarcinoma and removed 40% i'm getting ready to go for my first CT Scan in a couple weeks since the surgery i stay anxious and nervous afraid this will come back,0,0
"Finally, though, one week before my surgery I called the surgeon's office and asked for ""something""..they called in the lowest dose possible of Valium.....I had never taken anything like that before, but I took one as soon as I got home with it........It really helped ""take the edge off"" and for that final week, I was a lot better........your mental health is so important......I had lost 19 pounds, didn't need to lose even one, but it was the stress.......and last, DON""T BE AFRAID TO ASK FOR HELP AND ACCEPT HELP WHEN OFFERED from your loved ones and friends....as women that is so hard to do......I had to let go and accept the help, no matter how small......Our loved ones and friends feel so helpless, that the least little thing they can do for us, means a lot to them.......I wish you the best and you have my PRAYERS............God Speed and Peace be with you.",0,0
"(Philippians 1:21-24) For to me, to live is Christ and to die is gain.",0,0
They are a part of your life.,0,0
"Again, clear it with your doc first.I hope any pain you are having from mets is under control?My best to you, stayingcalm*as far as spelling goes, remind me to tell you sometime how long it takes me to type a sensible message since my recent tumor removal =(",0,0
How do you conquer the depression that prevents you from doing your daily routine?,0,0
"Once we hear the answer we can adjust our thinking and our actions to what has to be, but the waiting is the worst.",0,0
I had a bi-lateral masectomy in March of this year and the pain shoots across all the time.,0,0
The past 3 or 4 days I have started coughing up blood.,0,0
i dont go on this site very often anymore.,0,0
"My parent's never told any of my family except my immediate family, my Brother and my Niece.",0,0
Hard to believe a cancer center would handle things this way.,0,0
"Zytiga seem to tear down the imunne system and side effect I have had are like:Dizziness
Fast heartbeats
Feel faint or lightheaded
Headache
Confusion
Muscle weakness
Pain in your legs
Joint swelling or pain
Muscle aches
Hot flushes
Cough
Urinating more often than normal
Need to get up at night to urinate
Heartburn
Cold-like symptomsThese are some of the side effect!",0,0
My last CT scan showed very small tumors left in my upper left lung & adrenal gland .,0,0
She was rushed to the hospital due to cramping and pain in left arm.,0,0
I was just wondering what type of cell your cancer was.,0,0
"I'm scared to add supplements because I know you're supposed to discuss these with the doctor first, but this oncologist only sees patients once a month.",0,0
It doesn't seem to be doing anything but it is worth a few minutes every day.,0,0
"Hang in there ,    <PERSON>",0,0
Make sure you use the alcohol free mouth wash.,0,0
"Hi everyone
Well it be awhile sense posting anything,its been all most 6 month sense I had my prostate removed and everything is all good.My last visit to the doctor I noticed a poster on the wall
describing low testosterone levels and all the questions pointed to me.I told the doctor and he suggested I get my testosterone checked.and the results said I was at half what they should be.My doctor talked to me about testosterone therapy and I was wondering if anyone on here has had testosterone therapy and is there anything to worry about sense prostate cancer feeds off of testosterone.I may not have that just right.",0,0
Even if you didn't have the answers you always included useful links that we could research for more information.,0,0
It helps me to have someone to talk to who has been there.,0,0
They told me I had to be awake for the biospy.,0,0
We've all been worried and thinking of her a LOT.,0,0
"He is always throwing up, not eating without a PEG tube, and is too tired to walk from one side of the room to the other without either falling or being extremely exhausted.",0,0
"I was originally diagnosed with Triple Negative Invasive Ductal Carcinoma with Lymphevascular Infiltration Stage 2 Grade 3, Original Tumor Size 3.5cm, N2.My cancer is the second most aggressive forms of breast cancer.",0,0
Pain in my legs and all muscles was unbearable.,0,0
I have neuropathy from chemo and fibrosis in my lungs from the radiation but am doing well and no activity from the cancer.,0,0
I just read about it today!,0,0
My son goes to stock car races in Canandaigua.,0,0
"HiMy mom had adenocarcinoma of cervix stage 2 in 2008.She was treated with radiation and cisplatin.They also did a total hysterectomy.Took out ovaries and lymph nodes too.2 months ago they found large lesions- 10cm and 8 cm on the right and left lung.No pleural effusion.The biopsy suggests endometrial carcinoma with lung mets.It is ER,PR,EGFR negative,vimentin positive.The cancer is stage 4.However at that time there was no evidence of cancer anywhere else in the body ,as determined by PET.She is now on chemo - carboplatin and taxol.She is doing ok except for anemia and headaches.The headaches respond to paracetamol.They typically occur at night.She has had 9 rounds of chemo- weekly infusions.Now she is getting 2 weeks break before they do PET scan and brain <PERSON> is getting treated in India.If the tumors have not shrunk with this medication,what other medicines can be given?Anyone from India on this board?I live in the US,I am their only child and feel very helpless.I am looking for some support.ThanksGKRB",0,0
First time drains were removed labor day wknd.,0,0
Definitely sending thoughts that things r painlee and peaceful.,0,0
It's a chance for a new beginning: Don't start smoking again.,0,0
My mom did decide to have the second surgery.,0,0
Scotti:  Would you be willing to share with me your experience with lung surgery?,0,0
Are you going to be talking <PERSON> weekly?,0,0
Anyone have experience with ECT for depression while on <PERSON>?,0,0
I think you look great Kay!,0,0
Been riding the same emotional roller coaster myself.,0,0
That's great news on being treated like royalty.,0,0
"Stage 1, ER+/PR+/HER2-, teeny tiny tumors, negative nodes.",0,0
(of course being careful not to do any harm).,0,0
I was very scared but they were encouraging.,0,0
And my nose is running on and off still and my throat is also sore on and off.,0,0
Anyone out there with info about the pain after surgery.,0,0
You need a team of doctors you can trust.,0,0
She is now having chemo once every 3 weeks.,0,0
I tried to reply but the site is being screwy...,0,0
My remaining eyelashes and eyebrows simply jumped off my face.,0,0
I am afraid I only have a couple of months left with her.,0,0
"Both parents smoked, I just lost my father last April to lung cancer.",0,0
Check out the following forum entry (in Head/Neck Cancer forum) where there has apparently been vigorous discussion about the CTCA:,0,0
"Although my husband is the eternal optimist we are still worried, is there anyone out there who has had similar problems.",0,0
Men with low risk Gleason 6 who choose CyberKnife probably would not gain additional benefit that is with the side effects.,0,0
My father was diagnosed with throat cancer at the age of 49 so he has been battling it for 11 years.,0,0
"Hi, I just saw (11/04) that Alimta has been approved by the FDA.",0,0
Did you finish all of the rounds of chemo or stop after that first one?,0,0
"If you haven't already done so, also use the CSN search engine for terms like adenocarcinoma of the lung.",0,0
I have asked myself many questions about this.,0,0
"But if you do have chemo, we'll be here for you.",0,0
old and have been having numerous health issues over the past year.,0,0
"However, your advanced status may bring more of what has been used.",0,0
"ariadamy@gmail.comAbstractPURPOSE: We evaluated predictors of progression after starting active surveillance, especially the role of prostate specific antigen and immediate confirmatory prostate biopsy.MATERIALS AND METHODS: A total of 238 men with prostate cancer met active surveillance eligibility criteria and were analyzed for progression with time.",0,0
Can you provide the histology of the PSA?For the moment enjoy life .Best wishesVG,0,0
I'll be recuperating and unable to do much of anything so I will send you all of my remaining strength.,0,0
"You can do this and we are all praying for you!Big hugs, <PERSON>",0,0
I was diagnosed 7/08 with stage iv lung cancer due to one metastatic site in some lymph nodes under my arm.,0,0
Also how common is lung cancer at age 32?,0,0
One thing about cancer cells is that they don't stop growing when they reach a certain size.,0,0
I know I am suppse to be grateful that I am still alive but what about the quality of life.,0,0
"Oh yea, there are people like this and I agree in most of your saying that they are just lonely.",0,0
I have had some trouble with my arms falling asleep easily and numbness on the tips of my fingers on one hand.,0,0
I dont know how they got my name and address.,0,0
The doctor informed that these numbers can be misleading.,0,0
Also my mother  8 years ago lost her left breast.,0,0
"You will heal quickly, believe it or not.",0,0
I am on <PERSON> and am also interested in any discussion re this drug.,0,0
"But the one thing that you have continually said that is a comfort is ""YOU ARE NOT ALONE""",0,0
We saw another miracle as far as I am concerned.,0,0
"I read your post yesterday...I thought about how shocked and hurt you are.I think that as you obtain more infomation about your condition, your thoughts will be concentrated on your fight with this beast,rather than about what rude people think.Don't waste your mind/body energy on this.I wish you good luck with your procedure.You have found a very supportive site.Caring people who understand and you'll learn alot here too.Learn as much as you can.We are here to help.",0,0
"my dad is still in the hospital, going on three weeks.",0,0
"Also, she should use biotene toothpaste and mouth wash, only.",0,0
I find a site iaround.org also very helpful.,0,0
"Lobectomy of upper left lung on Feb 4, 2009.",0,0
Please don't feel alarmed but what you are having could possibly be related to chemo (if in fact you had chemo) or ...God forbid something going on in your neck.,0,0
"His treatment last year almost killed him- he dropped to 118 pounds, lost most of his hearing, his ability to eat, and was not able to talk due to his radiation.",0,0
More surgery took care of that one.,0,0
(he quit smoking about 18 years ago) He has gone through 2 rounds of chemo.,0,0
Can anyone tell me if this is very painful.,0,0
"This is why: If I am too tired I would rather leave work early to go home, then to go to radiation feeling tired.",0,0
My wife had large cell poorly differentiated lung cancer.,0,0
"He did get off oxygen, stopped needed around the clock care, drives himself to the doctor for his treatments, and has done wonderful.",0,0
i had cancer in my left lung an they took it out.,0,0
She was due to go in October- but missed and didnt go until last week and that is what when we found out.,0,0
"If they do, get the answers you need and deserve.",0,0
Hi I have read about this company and Grand they are receiving .,0,0
"My Grandpa, age 69, died of type IV lung cancer on December 23, 2009.",0,0
Will the urologist wants to do a PC3 urine test before the T3 MRI: Apparently he has had better success getting the scan approved by insurance after the PC3...... My reading of the sensitivity and specificty of this test is that it really isn't that good.,0,0
The way to check is to gently pinch the skin on the forearm.,0,0
He is eating a little but in a lot of pain.,0,0
"Please see my post on ""Scarred Sh**less"" Wish me luck today, please.",0,0
Until yesterday we were all terrified they would stop treatment.,0,0
Her legs swelled last night andd she has trouble swallowing.,0,0
"If adenocarcinoma, did they test for mutations?it is mind boggling that you should have two new cancers.",0,0
The other respondents to date have done a splendid job in expressing what this is all about.,0,0
"Now, if I can just get through the last 2 Taxotere treatments without the pain and neuropathy getting any worse, I'll be done with all the potentially hard stuff and just have the <PERSON> and radiation to deal with.Here's hoping I don't have to break out the heavy duty pain meds this weekend like I did after my first Taxotere treatment!",0,0
"Geez, aren't I nice to spare you of that?",0,0
"I think <PERSON> is Taxol & Carboplatin, right?",0,0
I am right with you.,0,0
She is starting to lose hope and she lost faith in her doctors.,0,0
"""However once it goes to the bones it is.",0,0
I just want him back...Debbie,0,0
He said that if it is cancer he has never seen anything like it before and his belief was that it was a Sarcoma.,0,0
"I just want to feel good, have quality of life, not be tired and sick and bald on chemo and then just die.",0,0
It is encouraging to hear others say the new drugs have worked for them.,0,0
I also used Biotene mouthwash & toothpaste to keep the mouth moist.,0,0
She has done chemo and radiotherapy but the past two months have been really tough for her.,0,0
"Her tumor however was 10 cm when she found it, so stage IV.",0,0
I have not worked since my surgery due to COPD in the right lung.,0,0
"Fortunately, mine is a very mild case, but causes side effects that will drive you nuts....constant tongue movement, and mainly anxiety.",0,0
Still waiting for egfr mutation and PET scan results.,0,0
Huge Hugs oh esteemed secretary of DS and P.O.D.S Clubs..............,0,0
A few days after my 2nd taxol infusion ... the tops of my hands turned bright red ... itched and burned like heck.,0,0
I wish you and your husband the best and keep posting.,0,0
Doctors have medicines for depression and many cancer patients need them.,0,0
Some doctors will only do surgery because that is where the money is for them.,0,0
He ordered a PET scan which was inconclusive.,0,0
I probably would not have been able to believe that answer from the chemo doctor but the surgeon I could beleive it from him.,0,0
We are the ones who pay the DRs.,0,0
Sorry to hear the news of your husbands scans.,0,0
"I have read that when a patient is close to death, they have times when their spirit leaves the body then returns.",0,0
Hi everyone.I so need my Pink sisters Prayers today.I find out today if I have <PERSON> and what they want to do for the large mass they found.I am very scared and worried.I have waited over two weeks for results.Been 4yrs.,0,0
His tumour was 7 cm across and 2 lympth nodes were involded,0,0
"All of the people on this site are what we consider the sister warriors, and you are now one of us.",0,0
It sounds like we are on the last treatment option with a 10% chance of it working.,0,0
Please if anyone has one of these come back and let me know your experiences.,0,0
"I have stage 4 lung cancer and am just finishing up my fourth session of chemo involving cisplatin, avastin and gemzar.",0,0
I will keep you in my prayers and send positive thoughts your way.,0,0
I have no other flu-like symptoms such as a stuffy nose or fever.,0,0
Im sure he would be glad to discuss it with you.,0,0
Sorry to lose a a brother to the beast.<PERSON>,0,0
"I was just reading some really awful accounts on other forums from guys who had surgery, and regret it.",0,0
"In clothes, they appear perfectly natural - no rippling at all.",0,0
"What do you think , that the single lung nodule that was taken out by <PERSON> surgery was a simple inflamed lymph node?",0,0
It is a plastic cylinder with a hose and mouthpiece attached.,0,0
"I had a lower right lung lobectomy via the vats procedure, and that was on 9-23-10 and I have been fine.",0,0
I apologize for taking so long to respond!,0,0
They apologized up and down left and right.,0,0
Going for a port tomorrow and begin <PERSON> on Wednesday.,0,0
"Nodes were negative and the markers were good: estrogen positive, HER negative, and so forth.",0,0
i know it will be hard and i can totally understand your feelings of being flung back into another cancer battle with your MIL.,0,0
My hair does grow pretty fast but it was still very very short.,0,0
"I forget which one of you wrote this, but it is true that we are educating them.",0,0
"I start 15 treatments of WBR tomorrow, and then I will go on Tarceva when I am finished.",0,0
Guess I better get in this I had a left lung removed two yaers ago .,0,0
companies have to stop this pre-exhisting condition crapola.,0,0
He has lots of spots in his spine.,0,0
I was lucky and hand no big problems that advil couldn't cure.,0,0
"whenever you read the side effects and it says to call than you call, you cant go back and wish you did.",0,0
"Unfortunately Lesley's mental status is poor, so I had to make the decision based on what the ONC and RAD ONC recommended.",0,0
He should avoid driving his car for a while.,0,0
I had a shower and a two hour nap this afternoon in my own bed.,0,0
Now even strangers know that we are sick and fighting some form of cancer.,0,0
