Sentence,Sadness,Split
All it takes is one cell left behind to grow and spread.,0,0
I'm happy to read your news!!,0,0
Im glad that you are almost done.,0,0
I used Aquafor skin lotion/gel  (over the counter)for radiation side effects on my skin.,0,0
My mother just finished chemo treatments and is doing great.,0,0
It will be interesting to read the comments that are made here.,0,0
The only sad part was shopping for clothes.,0,0
Just be very active with her doctors and treatment.,0,0
"report tomorrow, but initial reports stated they got ""it"", nothing in surrounding tissue or lymph nodes.",0,0
My doctor continually pointed out that they would not even be undertaking this phrophylactic brain radiation if the initial treatment (chemo & radiation) had not been successful.,0,0
Thanks for the info on your sister because without the steroids I would be a couch potato and that's not for me.,0,0
I have been noticing lately I get such sharp shooting pain like someone takes a knife and twists it coming in from the side.,0,0
I will be praying that your Brother will have a full recovery.,0,0
Wishing you all the best on your very special day!,0,0
I am sure others will have more suggestions here shortly.Good luck.,0,0
There was a harrowing pregnancy with the twins and one of them had open heart surgery when she was 1 month old.,0,0
She lives in Texas and I live in New York.,0,0
I read about a cancer in the throat common in Africa where the cells double every 7 days.,0,0
"The good Lord answers prayer and still does miracles.Stay positive,<PERSON>",0,0
I am less scared by you having shared this with me.,0,0
I looked for reassurance everywhere I could find it.,0,0
It was almost three hours of sleep time while I was being treated and then they returned me to my hotel.,0,0
But smoking or not smoking shouldn't be the reasons folks fund research.,0,0
We'd get hot chocolate and mix it with  Coca Cola.,0,0
I'm still here and have been cancer free for 7 years.,0,0
I just wanted to wish you all a Merry Christmas and a Happy New Year!,0,0
just had mastectomy of left breast and lymph nodes - no pathology yet.,0,0
"I'm scared to add supplements because I know you're supposed to discuss these with the doctor first, but this oncologist only sees patients once a month.",0,0
Another thing that I have noticed with him is forgetting things.,0,0
My PSA last month was 16 & this month 36.7.Hoping between the 2 PSA will come down.,0,0
Any thoughts on the subject are appreciated.,0,0
It helps me to have someone to talk to who has been there.,0,0
"Please don't put work before your health, not at this time.",0,0
There are quite a few beautiful headwraps (they require no skills to tie).,0,0
This site is good but not as many posters.,0,0
"It is easy for someone to tell you not to fret over it, since nothing can be done until Monday...but that does not help!",0,0
I made it through the first four A/C treatments ok.,0,0
Are you going to be talking <PERSON> weekly?,0,0
I started on TAC on Jan.18 and I felt every side effect.,0,0
Hopefully new doc is caring and knowledgeable who will provide effective treatment.,0,0
I don't know how to help you other than to just give you my story and pray for you and your father-in-law.,0,0
"Reading this blog this morning, I noticed someone said that Cyberknife saved his life with taxotere.",0,0
"Stage 1, ER+/PR+/HER2-, teeny tiny tumors, negative nodes.",0,0
I was very scared but they were encouraging.,0,0
I am not done with my current treatment (herceptin) and just don't feel like dealing with something else on top of this.,0,0
I usually go on in the evening anywhere between 8:00 and 9:00 and there are usually people in there.,0,0
Anyone out there with info about the pain after surgery.,0,0
I tried to reply but the site is being screwy...,0,0
"Although my husband is the eternal optimist we are still worried, is there anyone out there who has had similar problems.",0,0
"God is now in charge, but I guess he always was.",0,0
It's a about a young guy (27) who has cancer and is given a 50/50 chance of surviving.,0,0
"Hi, I just saw (11/04) that Alimta has been approved by the FDA.",0,0
"Thanx all for your comments......the 55 staples once then, the 65 staples 6 mo later make only 10 staples !!",0,0
"If you haven't already done so, also use the CSN search engine for terms like adenocarcinoma of the lung.",0,0
"Neither cancer has spread, my last CT scan in February showed a new lesion in my lung but the doctor said it looks different than the tumor I had with the NSCLC.",0,0
"Happy Birthday to a sweet and pretty, very special lady!!!!",0,0
I have a floating jaw so double whammy.,0,0
I finished my <PERSON> treatment over a year ago.,0,0
No wonder they were soooo happy when they left the message friday.,0,0
"I don't won't them to worry , but I do want them to understand my sickness.",0,0
Just wondering and a bit worried about you <PERSON>.,0,0
"The doctors also tried neurontin, which also helped.",0,0
So too much wine will undermine radiation.,0,0
WHY WOULD YOU BE IN A CANCER SURVIVORS NETWORK YACKING ABOUT SMOKERS....,0,0
Examination of that lung tissue in the lab revealed involvement of 3 lymph nodes.,0,0
"I so want to be back to ""me"" and it's just not happening.",0,0
Does anyone know what to do for leg cramps?,0,0
He asked if I wanted him to drain me.,0,0
waiting for lab results is the worst time.,0,0
Please don't feel alarmed but what you are having could possibly be related to chemo (if in fact you had chemo) or ...God forbid something going on in your neck.,0,0
And now is resting and regaining his strength.,0,0
"Thank you for your kindness, <PERSON>, it is greatly appreciated.Take care,<PERSON>",0,0
My exchange surgery is December 1st.,0,0
"If they do, get the answers you need and deserve.",0,0
we then learned he had a mass on his bone in his upper left arm.,0,0
I too am glad the visit went well.,0,0
So am very nervious but am glad at the same time that it will give me honest answers.,0,0
"He said she would not need chemo (although we are going to explore that after her operation which will be scheduled for next week).My question is does it make it worse that it is ""related to a bronchus along its hilar aspect""?When she had the biopsy tuesday they had to move the needle around a lot the 1st try to try and get it and then had to take the needle out and try once more for the biopsy.",0,0
"I got hand & feet rashes from taxotere, but nothing when i was on A/C.",0,0
Until yesterday we were all terrified they would stop treatment.,0,0
Good news - 30% reduction.,0,0
I hope this helps some and God bless and in my prayers.,0,0
I am now paying for it but it was well worth it.,0,0
Thank you so much for making me feel so not alone with this.,0,0
"""Mom,"" he said, ""I am so glad that you are better, now.""",0,0
<PERSON> your getting your exchange done here real soon...so worth the wait!,0,0
It really helps to get other perspectives.,0,0
Stay strong and glad to hear you are doing pretty good.,0,0
why is it all your hair falls out from all over your body from chemo...Except that one confounded old lady chin hair...my hair came back thin and slow but I now have 8 of those chin hairs?!?!?,0,0
"The first cancer I had was adenocarcinoma, and the second was Large cell carcinoma",0,0
Thanks for the huge smile on my face this morning!,0,0
A few days after my 2nd taxol infusion ... the tops of my hands turned bright red ... itched and burned like heck.,0,0
I pray that the tests from the lab show that is not cancer.,0,0
What a exciting day.You should buy yourself a NICE gift and sleep in.,0,0
My breast feels differnt - it itches all the time (the other one doesn't).,0,0
But they mentioned that after the three rounds of chemo they might do the radiation.,0,0
"I don't have any advice, just positive thoughts for you.",0,0
"I totally agree that the FDA, America Medical Association and various “non-profit” cancer groups are not doing us too many favors…At the end of the rainbow it is all about the almighty dollar not  us…It is tragic that we have to take the position of  “caveat emptor”…However, this cancer has 24 varieties and is deadly for many men with a fast and painful death too... Give often to the Prostate Cancer Foundation (the most active one out there for all of us with Prostate Cancers)…Best  to all",0,0
I went through the same thing with my mom.,0,0
My family found out 3 weeks ago that my 69 year old mother has stage 4 lung adenocarcinoma.,0,0
I hate pain and needles very scared of all this.,0,0
It is a plastic cylinder with a hose and mouthpiece attached.,0,0
She is finished with her brain radiation.,0,0
She has been on SSI Disability since then.,0,0
That was in April 05' and now it looks like he may possibly go into complete remission (no visible cancer cells).,0,0
"MY fourth cycle I started radiation to chest, side and back, five times a week for six and a half weeks.",0,0
He has lots of spots in his spine.,0,0
Must admit to being worried as I am losing feeling in left toes.,0,0
I'm happy to hear the news about the tumor disappearing....that's just wonderful my friend!,0,0
"!Congrats on your good news, glad you are doing so well,<PERSON>",0,0
"They might be waiting to hear from you, thinking you'll call when you're ready and they ""don't want to disturb you.""",0,0
I am so happy for you that there is nothing in the lungs.,0,0
Your strength and beauty shine through every post.,0,0
It has been 5 years since diagnosis and I finally feel like I have a life to live.,0,0
"He has had no symptoms or pain .Doctor told us  there was cancer in one lymph node, but bone scan was clear.PC was found by a routine P.S.A test and DRE suggested by our family doctor while he was in his office about another matter.We live in Northern Ireland UK so we use the National Health Service.Our local cancer centre is only a few years old and very good.However we do not get all the reports nor do we have a say in who treats him etc.We are pretty much in their hands.Sorry to ramble on but its been hard , my hubby had a bowel operation a few years ago and has trouble with his new diet and side effects from treatment.He is trying to follow the Snuffy Myers book.Two years ago my step son died from lung cancer ( aged 40) 6 months before he was to get married.I am 54 and my husband and I have a son aged 22 he has asthma and I worry about him also and how all this is affecting his health.Thank you for any help or advice.",0,0
You were wondering if the radiation will help.,0,0
"I'm a 'stage 4' myself, I'd be 6 feet under by now if my MDs had it there way.",0,0
"I suffered a spinal compression fracture (T-7)in June, 2010, after finishing 30 lung radiation treatments (currently with chemo).",0,0
2. is there any other method to cure?,0,0
Her cough is dry so there is no mucus buildup.,0,0
I live in Atlanta and I was fortunate to fine out that Emory University's Urology Department was headed up by a Dr.,0,0
I wonder if your husband is as confused as you are?,0,0
I found sleeping in my recliner was much better than a bed.,0,0
I hate the way my mouth taste inside.,0,0
Oh I forgoy  thius was a recurrancw od brest but it was under my arm,0,0
Until an ER doc finally figured out what I have.,0,0
"It's not statistically likely that it is cancer, so we are hoping (?",0,0
He took them every day 3x a day while he was on his oxycontin for pain.,0,0
He was afraid I wouldn't have left my hotel room--so unfair!,0,0
"Isn't it great!Keep taking care of your skin.And, celebrate big!So happy for you!Noel ☺",0,0
I was 33 at diagnosis and had a large tumor and 4 + nodes and wasn't at all sure that I would see 43.,0,0
Not only got the Flu Shot several weeks ago....but got the SPECIAL ONE FOR THE OVER 75 CROWD **  :) Good Reminder ***  Thanks,0,0
Happy Birthday Zhentup and Happy Birthday to your daughter too <PERSON>!,0,0
I am now at 170 - ha ha,0,0
They may consider radiation as an option if required.,0,0
"Now, I get to meet several of you in <PERSON> in Hershey this weekend.",0,0
I just cant take the whole doctor thing.,0,0
It is wonderful that the nodes were clear.,0,0
Just a warning with a MRI if you can take something to help with nerves.,0,0
"Kathi, that sound so exciting.",0,0
These chalanges are more than a man can take sometimes.,0,0
I found that as the fluid was building up it would cause me discomfort to the point where I couldn't sleep comfortably either.,0,0
"I would strongly urge that you insist on copies of your records as they are created (they are generally free at that point, while most institutions will charge if you ask for them in bulk), that you read them, and that you highlight any areas that raise questions for you.",0,0
How wonderful that he called after he heard of her death and then came home so quickly to be with you.,0,0
Taking walks (starting with very short ones) also helped.,0,0
This seems pretty impulsive and quite dangerous.,0,0
"It's a day early, wishing you both a great day.",0,0
I was diagnosed with small cell lung cancer 2 days (lung and nodes in left lung=considered limited still) before christmas 2007.,0,0
Before I was diagnosed with BC my husband was already retired and I retired from my job when I found out I this disease.,0,0
I hope I can find that for you.,0,0
i'm hoping that after i start my 1st chemo TOMORROW......it will still work for me.,0,0
"Hi <PERSON> are you still off the casodex, please get back to me im doing the same now
Oldal",0,0
the tumor on her lung was 8cm x 10cm if i recall.,0,0
i completely understand what you are saying.,0,0
"I'm reading and researching a lot since my recent surgery and how found that the more I learn, the less frightened I find myself.",0,0
"What a journey...dance, dance, dance!!!!!!!!!!!!",0,0
3+3 on three and 3+4 on one.,0,0
In such cases surgery to remove the prostate will not stop the progression of the disease and in some cases could accelerate it.,0,0
Remember to take good care of yourself and have a Happy New Year!,0,0
Anyone else ever experience this type of fatigue?,0,0
So we had nothing to go on in giving replies to your questions as best as possible.,0,0
I wish you and your friend the best.,0,0
Tell him not to worry about the radiation.,0,0
I did breathing exercises daily and tried to walk daily.,0,0
way to go...zero zero is our hero...have 3...enjoy life,0,0
Others on this forum will have had experience and tell you what exactly to do.,0,0
looks real has highlights and only wear it to work.,0,0
Her hair has grown back in nicely and the oral chemo is not affecting it.,0,0
"Who referred your step ""mom"" to the particular hospice you are dealing with?",0,0
I just started my treatments of Taxol /Herceptin.,0,0
"I believed that I had studied it all and come to the only logical conclusion, but your comments, added to those previously posted, make me wonder if I am indeed rushing.",0,0
"I only take baking soda in emergencies, which thankfully are not that common, perhaps a few times annually.In general we need to tell folks that ""heartburn"" is not a minor condition, and needs to be controlled.",0,0
"I had a checkup last week, and my PSA is sitting at .02, and all of my bloodwork results are within acceptable ranges.",0,0
You were one of my first friends on this site back in 2009.,0,0
They will help him qualify for other trials where ever possible.,0,0
New drugs are being used now with great results.,0,0
"<PERSON>, have your primary care dr run a full blood work up including your thyroid.",0,0
That's like my fellow survivor who just told us point blank not to ask.,0,0
It was very nice message and very helpful!!,0,0
Love it when a whole community embraces this cause.,0,0
55 year old non-smaoker in excellent health (or so I thought),0,0
A mass 2.5 x 2.1 in the left lung is pushing on the vagus nerve.,0,0
I often take a nap in the afternoon but they're getting shorter.,0,0
There are small lesions on back bone ( T4 and L1).,0,0
I took 30 radiation treatments and they're putting me on Tarceva.,0,0
Please let us know what you decide to do.,0,0
Just looking to see if any of you have had the same.,0,0
believe me i was one of them non small cell lung cancer stage 3B and Dr. made me feel i only had months.,0,0
"i was on prozac, then found out it wasn't good with my tamoxifen.",0,0
Wonderful to hear you are celebrating your 1st Cancerversary!,0,0
"
Do something to celebrate this event.",0,0
Had them before CK (actually that was the reason I was tested for PCa originally) and still have them post-CK.,0,0
Thank you for thinking of all of us.,0,0
I know I wanted a magic wand to suddenly appear and whisk the cancer away both times I was diagnosed.,0,0
I know I have had a rough time.,0,0
"Very handsome young men, <PERSON> and best of all, good to their mother.Best,<PERSON>",0,0
"Don't get anxious about what could be going on between scans, treatments, etc.",0,0
I just underwent central nervous system (brain and spine) radiation for 31 treatments.,0,0
His ct scan is set for June...,0,0
We are all so different and make our choices based on so many <PERSON>al reasons.,0,0
We usually play cards or some games and laugh until our sides hurt.,0,0
Yes that is my daughter she got married in sept 2010 on my 3 year anniversary of NED.,0,0
Thanks for posting it for us to share.,0,0
The low grade fever did not go away for 8 days.,0,0
We are putting our trust in his expertise - I hope he does well by my dad again.,0,0
I was diagnosed in July 2010 with Stage iv lung cancer nonsmall cell at age 45 with 2 young children.,0,0
The primary was in the left lung and mets were in adjacent lymph nodes and brain.,0,0
"Then pain moves to the left side, so another imaging test.",0,0
Maybe a nice treat like that might help your bride!,0,0
I would greatly appreciate it.,0,0
I'm a 43 year old female.,0,0
This after a hospital stay and numerous tests and xrays and ct sacans none of which showed anything positive.,0,0
Chemo can cause dry mouth which makes your tongue more susceptible to infection.,0,0
"I rang it loudly, too, for all of us.",0,0
"for a long time, everytime he saw me he warned me about my smoking.",0,0
"C, VGama and <PERSON>,I appreciate the well explained informaiton.",0,0
"....To MY second Family..... You guys said it all, what wonderful people .... LUV you all ....... <PERSON>",0,0
It's good to read your very good news!,0,0
It is very very different from how we were before.,0,0
I would be happy to exchange email addresses with you.,0,0
"May you live a long, cancer-free and music filled life.",0,0
I was diagnosed with bc at age 41.,0,0
We finally found a medicine (demerol) that eased the pain so I could continue the treatment.,0,0
Will be checking to see if anyone has a similar experience to share.,0,0
"And yet, when I think I am being helpful and perhaps even poignant, when I hit ""submit"", presto-bingo, it disappears altogether!",0,0
The wonders of laptop computers :)  Take care guys and thanks for sharing!,0,0
I noticed I had problems multi tasking and even forget words when trying to have a comversation.,0,0
"HI <PERSON>, My name is <PERSON>, can you please email me at rapiddavid@yahoo.com  thank you, <PERSON>.",0,0
"I now play golf, ride a bike, walk, etc.I am not an expert or a professional, but I believe you may be suffering from a deep depression, understandably so.",0,0
I hope you do something very special to celebrate.,0,0
Some days I needed more help than others.,0,0
I had squamus cell cancer on my left lung.,0,0
"loss, cough, blood in mouth and sputum, freq.",0,0
"That said, I left with the understanding that if I shoud change my mind about waiting four months it will only take a phone call and I can get a scan at three.",0,0
"Friday, we met w/her regular Oncologist and updated her on the shortness of breath, told her about the recent chest x-ray etc.",0,0
I'm wearing a curly wig that is definetly making a statement at work.,0,0
I had my last of 16 chemo treatments on 12/16.,0,0
"Choose ""Options""  from    the drop-down  menu..  You'll see lots of options.",0,0
I did go to ICU for 24 hrs.,0,0
I believe in the power of prayer... and know I AM PRAYING FOR YOU TOO!!!,0,0
"!.I see their arguements as proof that man has descended from a higher specie in the animal kingdom (thesis originally postulated by the American philosopher, <PERSON>).",0,0
"Need to get the body's immune system up, PH levels in line and more good oxygen into the body to stop the cells from growing.",0,0
"I developed left arm aching with swelling in arm and hand, aching on left side of chest, and asymmetry of left breast.",0,0
Clinical responses observed by cell culture assay tests have been unprecedented.Dr.,0,0
"I am not sure, but, I think <PERSON> is a card game.",0,0
They did check for hepatitis which freaked me out being a nurse I was neg.,0,0
I can't believe the same type cancer would grow in one spot and shrink in another.,0,0
"Ladies out there share your 'cocktails"" with me as I head towards crazy train of no sleep.",0,0
"It sounds like a fairly brutal experience, to be honest.From my own experience, I can tell you that the effects or radiation last long beyond the last treatment.",0,0
Our oncologist felt they were interchangeble.,0,0
Skip a day and then did 8 curls.,0,0
"Hey <PERSON>, When I was on Taxotere everything tasted like salt.",0,0
"You could stop reading the news, at least till you feel better.",0,0
there is quite a few treatments this site has quite a bit of info http://www.cancer.gov/cancertopics/pdq/treatment/non-small-cell-lung/patient/allpages,0,0
A thank you here is enough.,0,0
Very painful and it really tired her out.,0,0
We need to find some humor in all of this or we would all go crazy.,0,0
I had kind of a stiff neck and shoulder pain on my left side.,0,0
Examination of surrounding tissue when they did the lobectomy revealed 3 lymph nodes with cancer.,0,0
the shot that you get 24 hours later that builds white cells makes me hurt so bad in my hips and legs.,0,0
the chemo did not shrink the tumors very much.,0,0
I did not have the side effects that you describe.,0,0
I'm glad you had a good day today--many more of them to come.Margo,0,0
i am not sick but just do not want anything too eat.,0,0
"I can't offer you info on your surgery <PERSON>, but, wanted to wish you good luck!Gentle Hugs!",0,0
My family and I live and hope and prayer.,0,0
"Hello, I am 72 years old and have just completed the bronchcoscopy and mediastinoscopy and gotten clear results, no lymph node involvement!",0,0
"I needed big gauze patches to cover the area, not the ""no-stick"" variety.",0,0
The only effects of the steroids have been that I am eating anything that is not tied down.,0,0
Thanks <PERSON> and <PERSON> for giving details on your recovery from ED or should I say ED REHAB.,0,0
my husband is also 47. we were hoping for the immuene trials for small cell.,0,0
"orders and keep it moisturized, it will heal up once the radiation is finished.",0,0
"Which she is tolerating quite well, minus the hair loss and fatigue.",0,0
It left a big dark circle on my leg.,0,0
"I just don't know what to expect , if he has little time left or how much.",0,0
BeatleMike....are you now getting chemo or rads or both for the Lymphs?,0,0
"I went for my 3-month check, and my oncologist said ""I don't want to see you for 6 months""!!!!",0,0
Yes the erection is there with <PERSON> and sometimes really good.,0,0
"In the case of SVI, you already know that you are going to require radiation.",0,0
"I would've liked it just for piece of mind, but without doc ordering and insurance covering it, there was no way I'd get it.",0,0
Laralee - thank you for the smile!,0,0
Hot flashes were never very severe and they went away completely after two years.,0,0
"An interesting thing about chemo is that 2 weeks after each treatment, your blood count will get very low.",0,0
"Hopefully, the Taxol will be better for you.",0,0
I hope you found a Dr. you trusted.,0,0
You spoke on behalf of everyone.Thank you.Alice,0,0
"As long as grandma is lucid, in my opinion, it should be grandma's choice.",0,0
Now its been three surgeon appointments and my pre op next week.,0,0
"I hope you can keep busy and distracted, and keep positive thoughts.",0,0
"  Me too, I'm a klutz, I can trip over a stick in the woods:)",0,0
Can anyone share with me what they have experienced since you all have now been through it for a while?,0,0
Maybe what you need is time out from work and all.,0,0
wow im just wondering what part of the above comment needed flagging.,0,0
I have battled mouth sores a bit and also dry mouth and dry eyes.,0,0
I was awake til 11:30 pm and up every hour on the hour to go to the bathroom.,0,0
Thank you for taking the time to respond to me.April,0,0
"He never got sick only tired, lack of energy.",0,0
My PSA was under 10 yet I ended up with a 9 gleason at surgery time.Some men with 2 or 3 times my PSA only had a gleason of 6.,0,0
I am a 2 year stage 3a survivor.,0,0
So happy for you it is great to be done.,0,0
"Hi <PERSON>, I'm sorry to read you have small cell.",0,0
I sure hope that you can  get some relief with the prilosec.,0,0
I got told to do my bucket list feeel free to post about different places,0,0
"When we all become members here - there is absolutely no obligation, no strings attached, no contract signed.",0,0
Is there anything that I can eat to raise these levels to avoid more shots??,0,0
"mine are fever,night sweats,headache,coughing,pain throw out back,weight loss,sick to stomach,very very tired,cant breath for more than 2 hours without inhaler,sleeping and moving side to side results in no air and need inhaler...just wondering if anyone else has symtoms..thank you all very much",0,0
You have such an exciting life.,0,0
"My diagnosis was for triple positive breast cancer, right side, one positive node.",0,0
Sometimes with lung infections there is tissue that will remain after the CT they will go to the next step and if u feel things need to be done sooner then push the doctor to do it often the best way with the suspect of lung cancer they have to follow some procedures from what I know and I have experienced but well often the best way to know is a bronchiscope but also for cancer they do PET scans.,0,0
It is not the most wonderful thing I've gone through but certainly not the worst.,0,0
I was explained radical modified all lymph nodes were removed.,0,0
The people here are very supportive and knowledgable.,0,0
"You just made my mouth water, big time!",0,0
Has anyone dealt with this <PERSON>??,0,0
I can't imagine anything worse than having a child with a serious illness.,0,0
"I'm so scared, has anyone done this before?",0,0
Wishing you only the best as you go through this.,0,0
"I, too, have a lot of weight to lose, but the drs.",0,0
"If he thinks you need it, you must have expressed pain bad enough to wrrant the prescription,right?",0,0
"I always used to pray for people, now it means so much more to me.",0,0
Like those were the worst thing that could happen that day.,0,0
Radiology oncologists plan what radiation methods are best.,0,0
Cancer is VERY scary: scary for patients and scary for family members!,0,0
"But,  this site has helped me more than anything.",0,0
You should also ask about whether or not perineural invasion is present (PNI) and have your doctor expaln what this could mean to you.,0,0
"During my surgeries, I took things hour by hour.",0,0
I find value in your post in that it does seem to be a grey area this prostate thing....I hope you can ask Dr. <PERSON> what he thinks about the possibility that perhaps this is all over diagnosed and maybe more tests...like what <PERSON> had to determine the strength and extent of the cancer is in order prior to ever even making a decision on what treatment.,0,0
She obviously instilled in you a strong fighting spirit.,0,0
<PERSON>...good to see/read your comments as always !....,0,0
I had 16 rounds of Taxol on Tuesdays.,0,0
It was about 6-months of inhumane hell before it even started subsiding.,0,0
"In fact, there is a treatment options tool here at ACS/CSN and CK does not even show up on the list.I like what you and Kongo both had to say about the issues with Brachy/seeds and <PERSON>.",0,0
<PERSON> you are getting it checked.,0,0
I knew this was going to be a painful recovery but I really had no idea just how much.,0,0
Let's pray it isn't a cancer but some other anomaly in your lung.,0,0
There is a triple mix mouthwash or just plain old laticane?,0,0
Both of  you are going through this--even though in very different ways.,0,0
i was told 12 mo one year ago.,0,0
I used several down king size pillows that were soft.,0,0
