Sentence,Anger,Split
So glad X-R-R got back to you so fast.,0,0
I've been through cancer with my husband and mom both and now we are waiting to see if my dad has lung cancer.,0,0
I guess the one good thing that this has just now happened is that tomorrow is my last day of whole breast irradiation and Friday I will begin my boosts so my armpit should not get anymore zaps.,0,0
"I know how hard it is, but, you did it!Hugs,Lex",0,0
Thank you so much for the beautiful tribute to a beautiful soul.,0,0
Tell your husband thanks for his input too!,0,0
We love to talk and tell our stories of success!,0,0
I have 2 very good cancer centers within a half hour drive.,0,0
I had a large tumor with 4 nodes (Stage 3A) in 1987 and I am still here.,0,0
"She raised a wonderful daughter, please remember the good times that make you smile....she will forever live in your heart!",0,0
I just finished chemo about 3 weeks ago and now I am doing herceptin every 3 wks for a year.,0,0
"Thank you for your update, please let us know more as you get the info!",0,0
Her right femur was very weak so she had surgery to have a rod inserted.,0,0
The only reason we found out she had cancer was because it had metastasized to her brain.,0,0
I had a lumpectomy in February and started chemo March 31st.,0,0
Take care friend and prayer said for you for a good outcome.,0,0
i am sorry to hear about your husband.,0,0
I hope you will be OK & I hope you have support to be at the hospital with you.,0,0
Wishing you all the best on your very special day!,0,0
"As others have acknowledged, you are missed in your absence.I value nothing more than hearing from someone such as yourself that I have written something that puts a smile on  your face.",0,0
"My suggestion is, if your not comfortable with the advice, the attitude, anything, look elsewhere.",0,0
"If i were you, i would suggest that you don't prick or pop it.",0,0
Has anyone heard about wearing a sleeve for air travel to prevent lymphedema?,0,0
"Sorry I cannot remember, I gave my book to a friend who is battling this disease also.",0,0
"I am sure I will have lots of questions
thanks
betty",0,0
This was a good one...a keeper.,0,0
Tumors have shrunk or been stable now for more than two years.,0,0
I had noticed the lymph node involvment in my neck back in April of '09.,0,0
Your Mom is in my prayers and remember that this beast can be beat at ANY stage.,0,0
This is a good site but not as much traffic.,0,0
and I will bring mint chocolate chip cookies.,0,0
I love hearing about all of your adventures.Hope your hubby is doing better.HugsDonna,0,0
I think the pups are inside with me too.,0,0
(It's only about 40 miles from the house.),0,0
I have been told many times how lucky I was to catch it so early.,0,0
"I had a upper left Lobectomy , may 5th 2017.",0,0
Happy Anniversary.... wow 24 years... now that is worth celebrating!!!!!!!!!!,0,0
"Thank you Will, You have had a very difficult time & I greatly appreciate your helping with your story with Prolia.",0,0
I think the onc will be ok with it all.,0,0
I just want my mom back!!,0,0
He will be receiving chemo for the rest of his life.,0,0
My mom has squamous cell cancer type 3.,0,0
I just read your post and just wondering.,0,0
She is participating in an experimental drug program so we pray for her recovery each day.,0,0
My mom did decide to have the second surgery.,0,0
Muck  Your post did make me laugh (not AT you but WITH you).When I had my brachytherapy and woke up the nurse (young and VERY attractive) asked me if I had to urinate.,0,0
I am not done with my current treatment (herceptin) and just don't feel like dealing with something else on top of this.,0,0
My sister was diagnosed with Stage 4 lung cancer.,0,0
My father was diagnosed with throat cancer at the age of 49 so he has been battling it for 11 years.,0,0
Hey BBanner - I can't tell you much more than what has already been stated - treatment IS different for everyone.,0,0
"He is on prednisone, and is experiencing alot of congestion.",0,0
I have 2 spots one is super tiny and the other is 8mm.,0,0
Little frequent amounts are better than large amounts three times a day.,0,0
I do know that resistence is gradually increasing and I am getting concerned.,0,0
Dr said the is a 40 percent chance for malignancy.,0,0
Hope all went well with the 2nd opinion.,0,0
That's what the doctors get paid to do.,0,0
I was happy to know someone else was doing this too!,0,0
"Actually, I didn't get the diagnosis until I had the surgery where it was found that the tumor was isolated and no nodes were involved.",0,0
Orchiectomy will induce permanent hypogonadism (no testosterone) leaving the estrogens .,0,0
has anyone been on tagrisso medication for lung cancer?,0,0
I've been living and thriving with stage 4 lung cancer for 4.5+ years.,0,0
this is a great site to find support.,0,0
Good friends and chocolate that's all I would need.,0,0
Personally I think that one positive node is a good reason to do chemo.,0,0
Show that there is something good that can come out of a bad thing!,0,0
It's so hard to see your loved one suffer and all of a sudden they're gone.,0,0
"Had vats for left upper lobectomy on Jan 18, 2011.",0,0
I always seems to think of comebacks after and not at the time.,0,0
I had another recurrence on both lungs diagnosed in Jan. 2003.,0,0
"Additionally, he has become very fatigue and said if he sits or lies down he will fall asleep.",0,0
"The change in meds sound like they are helping and I will pray that her condition continues to improve.My best to you and your wife,
<PERSON>",0,0
"Due to ongoing intolerable pain, pelvic reconstructive surgeons were able to remove a portion of the Virtue mesh that was located in my scrotum during December 2009.",0,0
Being concerned about severe menopausal side effects I have decided to keep my ovaries.,0,0
"Swing,Here's hoping you get a drop in your PSA.",0,0
I have heard that <PERSON> is one of the best in the world.,0,0
"Not able to chime in on any of this, I have a nodule in my lung that I am awaiting biopsy results on.",0,0
"I can't even fathom getting my mammo done yet, I can't even wear a bra comfortably, much less squishing it.",0,0
"Well ladies, I thank you for your wonderful opinion of me!!",0,0
I also drink 12-15 8oz glasses of water a day.,0,0
HiI'm in Texas and was wondering where the party is going to be.,0,0
"Sorry for the duplication, but I love this and want to repost for the new people and those who did not see.I have spent more time on other boards here since my mom passed in Sept of SCLC w/mets and my mother in law w/EC in October, but I still pop in and read and wish all of you the best in whatever stage of your journey that you are in, there have been so many suportive and inspirational people for me.....Be good to yourself.....ElysiaSorry Don't Tell Me...Don't tell me that you understand, don't tell me that you know,Don't tell me that I will survive, how I will surely grow.Don't tell me this is just a test, that I am truly blessed,That I am chosen for this task, apart from all the rest.Don't come at me with answers that can only come from me,Don't tell me how my grief will pass, that I will soon be free.Don't stand in pious judgment of the bonds I must untie,Don't tell me how to suffer, don't tell me how to cry.My life is filled with selfishness, my pain is all I see,But I need you, I need your love, unconditionally.Accept me in my ups and downs, I need someone to share,Just hold my hand and let me cry, and say,""My friend, I really do care.",0,0
"   As it seems most everything that you can do has been covered by the other post, soccerfreaks advice is some that should be truly heeded, he has given very good and useful.",0,0
I've never heard of anyone else having it done.,0,0
i am reading this thanks to you.,0,0
Keep your chin up and do the best you can and say a prayer.,0,0
Has anyone here noticed diferences with the two treatments?,0,0
I was diagnosed the end of last week with 3a NSCLC Squamous Cell Carcinoma.,0,0
we were also told that there was activity in the lymph node prior to the chemo radation.,0,0
I was in your place just 2 years ago & this discussion board has been a lifesaver to me!,0,0
Im sure he would be glad to discuss it with you.,0,0
I wanted to see what it was like before I posted.Doris,0,0
"The keys seem to be exercise, eating well, and getting back into the routine.",0,0
Best wishes on your Birthday.,0,0
I just had a bilateral mastecomy 4 weeks ago.,0,0
This is a site that medical doctors put together and discussed their research on how this noni fruity helps cancer patients.,0,0
"My husband has stage 4 nsclc and was given a year with treatment, a year ago.",0,0
Add inspire.com to you list of cancer resources.,0,0
"I'm no athlete, but I love doing stuff.",0,0
Our bodies have gone thru a major trama undergoing major surgery.,0,0
He was not feeling well for a few months with a dry cough which turned into flu like symptoms.,0,0
My mother is very tired and she was having bone and joint pain.,0,0
"I have also come across men who refuse to get a digital rectal, a psa or a biopsy.....go figure.......Ira",0,0
If it had not been for my daughter and a wheelchair I would have not been able to handle today's Dr. visit.,0,0
"They are getting better now, but they stuck with me for a long time...wait---what was I talking about????",0,0
Its so discouraging to learn that problems with my arm swelling and hurting will probably be on-going.,0,0
"Bet that smile stays on your face a while:)xo
Victoria",0,0
"Taxol is milder I think, not sure, you can ask your onc.But, there is no nausea with Taxotere and my hair started to grow back.",0,0
"Again, another waiting torture...   That has been my story since surgery...",0,0
"My husband was also diagnosed with Stage 4 lung cancer, malignant pleura effusion, with mets to lymph nodes and liver.",0,0
I live in Atlanta and I was fortunate to fine out that Emory University's Urology Department was headed up by a Dr.,0,0
"I wholeheartedly agree with my good friend, Margo (a/k/a tommaseena).",0,0
Everything is okay here in this neck o the woods...i just passed another CAT this last week (posted a photo of one of my real casts on the expressions page).,0,0
I watched the coverage on a TV in the computer lab with my classmates.,0,0
Oh I forgoy  thius was a recurrancw od brest but it was under my arm,0,0
Kids have a whole different view of cancer.,0,0
I only wish continued good news for you.,0,0
"I now only have barely two inches of hair, although I do see it growing just sloooow.",0,0
"It's not statistically likely that it is cancer, so we are hoping (?",0,0
I fear the unknown because although people can tell me what it's like I'll only know what it's like for me when it happens.,0,0
I received a blast of carboplatin and VP16 running concurrently with radiation.,0,0
I consider myself one of the lucky ones as I did not get very sick at all.,0,0
"They are all soooooo cute - but have to admit, <PERSON> is my favorite!",0,0
"It's just difficult for me to set up a time with her oncologist or regular Doctor because they're too busy or I""m working.",0,0
What I did learn yesterday was that she has a mass the size of a golf ball on her left lung.,0,0
I am sure that anyone who has had a mastectomy feels this way.,0,0
I had surgery 3 months ago and am also experiencing terrible midriff pain and wearing a bra is very painful.,0,0
I'm so happy to see you're starting rads and will soon be done with all your treatments.,0,0
I am now at 170 - ha ha,0,0
My levels have been dropping as low as 87 and up to 94.,0,0
"I'm listening to the doctors too, but sometimes it's hard to make any sense of it all.",0,0
They treated me with 6 weeks of daily radiation and 7 weekly Chemo treatments.,0,0
"In the meantime, she has developed serious pain in her hip.",0,0
Math is not what it was and typing can be a problem too.,0,0
The age of the patient and other health issues are at play too.,0,0
I think we do all understand the terror that can hit at different times.,0,0
I hope yours stays well under control...<PERSON>,0,0
"Could someone be kind to explain, when you have mets to bone and brain can they shrink them away by having chemo,or do you need surgery?",0,0
i always read her post she gave me and many others great advice.,0,0
Thank you so much for posting.,0,0
"Welcome <PERSON>, I too am a new member just got on about 4 wks ago.",0,0
"Well , <PERSON> bless and you are in my heart and prayers.",0,0
"My husband, a family member or friend has been driving me which I so appreciate.",0,0
We also did a lot of 12 hour days.,0,0
(I had a slow recovery from surgery) I lost 40% of my right lung.,0,0
I recently signed a waiver so I could be tested for ALK and possible <PERSON> participation.,0,0
Just to let you know that you are not alone.,0,0
"A week ago, I was at a party & listening intently to conversations while stroking the inside of my knee.",0,0
I was diagnosed with small cell lung cancer 2 days (lung and nodes in left lung=considered limited still) before christmas 2007.,0,0
"I started out on Arimidex, the femera, The later side effects was insomnia, and joint pain.",0,0
Anyone is familar with <PERSON>?,0,0
"Thanx so much Family....Gamma Knife went well, older GF showed great success I found out on the other tumors, and body is NED.",0,0
I have missed being a part of this group and realized I do need your support and your prayers.,0,0
Won't do much for the mouth sores though...,0,0
I'm not really sure what is removed either.,0,0
"But recently, the cancer cell spread to my left leg.",0,0
"Stay strong Paul, and know that you were loved.",0,0
I'm not even sure that any of us can say anything at this point that will make your fears disappear.,0,0
He just started radiation to his lung this week.,0,0
Look forward to many more of your Anniversaries!,0,0
If you have trouble obtaining these medications (Emend and Zofran are expensive!,0,0
And really though we've all been dx with CANCER.No matter what the Stage.,0,0
I was surprised how much iodine levels effect hair and nails.,0,0
She has recenetly had her left lung removed due to cancer....,0,0
"I'll be looking for your next post with the ""great"" news that the cancer is GONE!",0,0
Lots of people live for decades with just one lung.,0,0
Other than feeling tired and dizzy ( low blood pressure) I feel good.,0,0
What a wonderful thing to do for <PERSON>.. you are a very special lady..,0,0
Has anyone used the pill they use for chemotherapy treatment?,0,0
I went to visit him today durring his 6 hour chemo treatment.,0,0
I am a stage IIIA non-smallcell lung cancer survivor.,0,0
It is very overwhelming and down right scary.,0,0
(Next ones are in April).,0,0
My dad is 61 and was just diagnosed with the cancer he is suffering from hip and upper leg pain.,0,0
Please let us know what you decide to do.,0,0
you are the first one that I have seen a post where the cancer has spread to the chest.,0,0
"I took exceptionally good care of myself, walked, ate healthy, drank lots of water, read a lot of good books, and rested.",0,0
"I was disabled due to a back surgery gone wrong, and left unable to work.",0,0
Please share anything with us that you can.,0,0
If it doesnt tho- I should get it cut to same length.Night sweats?,0,0
"I lately, had often wondered how you were doing...the news is very pleasing to hear !!",0,0
"While I wanted to scream at the world and do something, anything, I respected her decision and did ecerything I could to help her.",0,0
"That's OK, just takes more questions for it all to sink in to my brain.",0,0
I get shotgun and I'm bringing my cafe au lait and beignets!,0,0
"Good to hear you're doing well, excellent news on clean lymph nodes!",0,0
I was diagnosed with lung cancer just after Christmas.,0,0
The doctors and I are trying to determine the cause.,0,0
"Then, the tech inserted the wire at the tumor site.",0,0
I only had metalic tastse from the carboplatnum and I did get nausea from it.,0,0
I know several people who's insurance companies have refused.,0,0
Just want to beat this or atleast keep it under control.,0,0
"Out here in California,  we are 10 inches below our normal rainfall - so fires will be a part of our Spring and Summer out here.",0,0
"Hello all, I'm new here and like most, worried.",0,0
Just a little scared to do this again so soon.,0,0
therapy after discharge other than your incentive spirameter?,0,0
"My onc has me come every 4 weeks, does not want me to go longer.",0,0
"Doesn't really make a difference the type of drugs, just that our veins can't withstand lots of toxins.",0,0
"MTN, so sorry to hear your news.",0,0
If I am going to die of this disease I really would rather enjoy some of the time I have left.,0,0
"Thanks , I've tried, a few nausea medicines, they didn't work.",0,0
"Had ER+ breast cancer: large tumor, 4 nodes.",0,0
He will first schedule a biopsy in the near future and your husband will need to follow the directions about taking antibiotics before and after the biopsy.,0,0
"I've had lung cancer 2 times, 14 years ago in my right lung(entire lower lobe removed).",0,0
"Knowing what I know now I would defer a biopsy in the absence of anything worrisome on a DRE and continued steady PSA readings at the range you have and I would continue to take regular PSA tests.I would recommend you read ""The Big Scare:  The Business of Prostate Cancer"" by <PERSON>.",0,0
My sentinal lymph nodes were clear and my margins were clear.,0,0
The bumps could very well be dry skin.,0,0
"I'm hoping for at least 2-3 years, maybe I'm dreaming but I hope not.",0,0
"Therefore, take your oncologists advise as he/she may be current on this subject matter.",0,0
"Measuring the tumor with a tape measure, may not be giving you an accurate size of the tumor, as they are measured in centimeters, not inches.",0,0
Hope all goes well with you and have a very Merry Christmas.,0,0
I had trouble with hip pain after being on Aromasin about 8 months.,0,0
I went to an ENT Doctor and he said it has to come out.,0,0
"I so envy her --  as you recall, I fancy myself a professional chef -- even tho, I'm not.",0,0
"My own private comment as a layman (do not use it as a decision), if not satisfied with the inconvenience of the biopsy, I would inquire with the doctor in regards to a delay of the procedure based in these two conditions; (1) get PSA tests on 6-months using a trigger PSA of 8 to commit to biopsy; (2) repeat the biopsy not later than 12 months from the date of today, even if PSA stables within this period.Here is a study you might be interested in reading;
“…This gene <PERSON> encodes a novel class of genes, namely the ones that are not translated in a protein and apparently function as a structural RNA…”
http://www.noviogendix.nl/files/Literatuurbrochures/Tinzl_pca3.pdfHope my insight is of help.Take care
VGama",0,0
<PERSON> you are feeling good after your surgery.,0,0
Her blood work was fine per oncologist but I know she really had a first rough week.,0,0
Very interesting information on these types of procedures.,0,0
"Arthritis and bone mets can be confused in a scan but I had some lesions on ribs(not a spot for arthritis), and the growth thruout my spine while on two months of Femara could not be an increase in arthritis in that amount of time so thus cancer is the diagnosis.",0,0
"I am having a second opinion on the biopsy but I do realize that many cancers are upgraded after removal.If Novalis or Cyberknife ""failed"" I suppose a backup plan would be cryo but I am pretty confident that in my case at least, the radiation will get it the first time around.",0,0
So I'm starting radiation next Monday and my cousin led me to this article on drinking red wine before radiation treatment.,0,0
"On December 4, 2011 we lost my dad to mesothelioma.",0,0
Whoever designed it ... you or someone else ... did a beautiful job!,0,0
Oh and you might look into a pulmonary rehabilitation program.,0,0
my lymph nodes were clear and my oncotype score was 10.,0,0
"Hi all, I had my surgery late October, doctor at Penn State Hershey was really good, this was a 1cm nodule.",0,0
Last week she told me that she is not scared... that she will only be scared if I lose faith in her.,0,0
What you have been doing for the men here for years is priceless....max,0,0
"My only experience with morphine was after a surgery and the gave me this little pump...well needless to say, I pumped myself so full of the stuff that I was batty as a fruitcake for days....so, just don't overdo....I hope it helps you ...:)
Dee",0,0
Screaming and crying are all part of the deal.,0,0
"Not that the local guy wouldn't have done as good a job, but it's your life, and you have to go with the odds.",0,0
"Thats awesome, glad you came by to share another positive story and give us more hope........congrats.....go live your life!!!",0,0
I have been looking at all my options for quite a while and feel confident and comfortable with the decision I've come to.,0,0
"I didnt get any mouth sores, but my mouth was dry, and I used biotene.",0,0
"We've done CT scans, ultrasounds on my legs, and PET scan (all to rule out blood clots or anything); tests have been good, but doctors still don't know what's causing this terribly painful swelling.",1,0
I didn't get to sleep last night/this morning until 3AM.,1,0
I feel so robbed of my time with her and miss her do much every second.,1,0
"Kat, like others here I had this done about an hour before surgery.",1,0
"Cool - No, that all happened over the last 2 days.",1,0
"I have heard:
""Oh you must have the good kind of cancer""---didn't know there was a ""Good Kind"" can I trade my 2 aggressive breast cancers for that?",1,0
"It's really irritating, and i am beginning to wonder if this is normal?",1,0
But Dallas is 5 hours away!,1,0
The last time I saw her I sat in her office crying about how these other two doctors just aren't listening to me.,1,0
She is a spoiled baby in a adult world.,1,0
My doctors can't agree on where the fluid comes from.,1,0
I had a period when I was really angry.,1,0
If you don't get the answers you need then you should get a 2nd opinon.,1,0
I am not thrilled about how NBC is handling the Olympics either.,1,0
"In surgury they found the cancer had spread to the outside of the lung, stage IIIA.",1,0
I do NOT want to end up being smaller than what I currently am--full C.  I explained this to the nurse asst.,1,0
It's so hard for her to call me and be crying and wanting help and feeling so helpless!,1,0
"Frankly, I'm more afraid of not taking it than taking it.",1,0
The doctors did not recommend or offer chemo or radiation.,1,0
I had a large squamous cell in left lung late 2001.,1,0
"Yeah, my sleep is pretty messed up.Steroids keep me awake... then next week, I'll be super tired, fall asleep around 8, then wake up at 3 am... it's quite annoying.I also have the lovely night sweats!",1,0
I should have recognized that warped sense of humor.,1,0
The docs themselves seem to have no real time to tell us information and I'm hunting for stuff all over.,1,0
They found that doctors frequently switched drugs to choose the more expensive options.,1,0
I can not stand companies that do things like this.,1,0
So now she goes down as a less then 5 yr survivior.,1,0
"J - YOU USE SUMMER SAVOURY (or, savory, as we cretins spell it)?!?!",1,0
"Your children will need you, to tell them all about their mom.",1,0
She seems confused and sometime does not under stand what is being said to her.,1,0
"BUT, these Doc's WON'T tell on another, if one messed up.",1,0
Like you can order up cancer when it's convenient-that's too much!,1,0
We see the Oncologist on Tues. because I'm afraid of Mets to the Brain.,1,0
My husband is down to 141 pounds from a starting weight of 217.,1,0
Anger being number one.Right now I HATE all doctors.,1,0
i honestly feel this hospital is slowly killing my mother more than the cancer.,1,0
I am getting very sick and tired of all these tests.,1,0
He did a Bronchoscopy and took some cells from the affected lymph node.,1,0
I'm angry that her husband (of not quite 2 yrs) does not want to take her home more.....I'm lost.....that's it...,1,0
"I hate asking such a question, when I have so many others.",1,0
the acs usually has people who will help you with getting to appts and help like that.,1,0
"With the stress of BC, 5 surgeries, and everything else that goes along with cancer, my marriage is in trouble.",1,0
"Just to protect your safety, you may want to pm this information.",1,0
1)  I find the log-ins to be somewhat frustrating.,1,0
"We may  professional, we may remain rather unemotional and say all the stuff we're supposed to say when the code goes south.......but on the inside, we're almost as torn up as you are, and on top of that we're angry because we couldn't save your loved one.",1,0
I lost my job in the middle of the treatment and decided on not filing a lawsuit  against my former employer.,1,0
Just because I have cancer twice now and my <PERSON>al life is the pits....well it does not mean I get on the pity bus.,1,0
"So, I simple don’t know why we should put my wife through another needle biopsy.",1,0
It seems I keep getting more and more negative news everyday.,1,0
"We could all say, ""What If"" but the truth is a week, a month does not matter...does not change things much at all.",1,0
None of these terms were told to us directly.,1,0
I had the surgery the same day as the infusion.,1,0
"My mom was  diagnosed on March 3 2007, with uterine cancer (adenocarcinoma), metastases to the vagina,  lungs, pelvic bone and  tail bone.",1,0
I don't know why that posted three times!,1,0
"He just stood there,  I said ""Am I still in your way?",1,0
"""Good to know.The little mutated bastards dont know when to die, can't produce serum sometimes... but they sure can  replicate.",1,0
"Why would you not tell her, and why would you not get in touch with her?",1,0
I had a bumpy rash for a short while towards the end of rads.,1,0
Please go to the inspire web site and find the lung cancer section.,1,0
These are words I took from a book marker I received.,1,0
"HE Has arranged to move out tomorrow, this is final, after his attitude towards me tonight, less than an hour home from work....",1,0
"But hospice wont, they dont do pre death anything",1,0
"Don't know about more chemo.......darn, just had my port removed 2 weeks ago!",1,0
She bugged us every hour of the day.,1,0
Spammer back again under new name (what a low life) Cancer survivors come here for help and this '>^%$#&* keeps thier questions on back pages.,1,0
Radiology oncologists plan what radiation methods are best.,1,0
Your short temper is definitely due to frustration with not being able to do all the things you are used to doing.,1,0
I came home threw a few pillows around and hated everything.,1,0
Just don't let it interfere with spending time with your dad.,1,0
This is a wicked disease but it doesn't have to win.,1,0
DOES THIS MEAN HE SHOULD HAVE HAD SURGERY IN THE FIRST PLACE OR AT LEAST AN INVESTIGATIONAL DRUG IN THE FIRST PLACE!!!!!,1,0
"Sounds like you had a great day Tash, I am really glad for you.",1,0
"By their expressions and actions, we know they are small-minded, unsympathetic, and without an iota of compassion.",1,0
I'm worried it may further impact my dad's health.,1,0
I know it is short-term but sometimes I get really frustrated with the side effects.,1,0
"to oriontechno et.al.do you all not think that if a special diet or an herbal potion or a special wrist band actually cured cancer that maybe this would be the end of the discussion - suffice to say I would betcha it will not be the end - I betcha we have not yet found a cure for cancer - I think we might all have heard  the news -the fact remains that those who do not receive treatment for lung cancer die -so if you want to eat a low sugar diet or take vitamin x or meditate while standing on your head for goodness sake go ahead if it is cleared by your physicians not to interfere with your medical treatment - to pretend that any of these things will on their own be a panacea or will replace the much dreaded ""cancer clinic"" is irresponsible and worse than misleading - connie.",1,0
I was diagnosed with early stage 2a invasive ductal cancer.,1,0
"Nothing stops the pain, uncluding every imaginable pain medication.",1,0
I was basically forced fed because I didn't want ANYTHING.,1,0
