Sentence,Anticipation,Split
For now I plan on getting prostheses and bras.,1,0
I am looking forward to meeting with you ..,1,0
Not looking forward to another biopsy but this procedure should be able to target areas of suspicion in order to refine the results.,1,0
Everybody's situation is different so they would have different outcomes.,1,0
You may have better luck than I did.,1,0
"But, I am concerned that you will only be seeing the doctor once a year if there are nodules in your lungs.",1,0
They should be able to help you find some information that you need.,1,0
We can always plan another re-union later!,1,0
"When the time comes, I will just sharpen the blade and cut it all off!",1,0
It is monitored by oncologists and they may be able to help you quicker --unless X Rock and Roller checks in tonight.,1,0
I very well may be facing my first bronchoscopy in the very near future.,1,0
this treatment and are on your way back.......I wish you the best.,1,0
"I hope that you do not need chemo but if you do, it's nothing like you may have seen in the movies.",1,0
Here is a site you may find helpful.,1,0
"<PERSON> truely is a miracle drug and together with the zometa, you should do well.",1,0
"I had a bronchoscopy, too, and it's just as Mario said, it's a very easy procedure; it will be over in the blink of an eye for you and leave no pain behind, the best kind of procedure :)",1,0
And even though you have the knowledge this still may not help your fears.,1,0
"FYIProstate Cancer will kill 32,000 men in the US this year.",1,0
She would agree with everything dennycee has to say.Happy New years...,1,0
The exercise your doctor is recommending will probably help you to heal more quickly.,1,0
I am sure that I would have said something like that right back to her.,1,0
DO NOT worry about scaring us as we all know it can happen to any of us at any time.,1,0
You could become the traveling blanket fairy...dropping them off at facilities during your travels and picking up yarn as needed and when you felt so inclined.,1,0
It's so good to know there IS hope.,1,0
I use it for a mouth rinse because my tongue tends to burn.,1,0
I was on a low dosage of medication for awhile and then quit as I thought I could handle it myself.,1,0
NED will be ready for his dance with you next week!,1,0
"If they were sure it was cancer, I think you would be on a new course of chemo right now.",1,0
No one knows for absolute certainty but tamoxifen was the suspected culprit.,1,0
"Regardless, this seems to be a condition a medical professional is more competent to answer.",1,0
I hope tonight and tomorrow I feel as well and as well with all the treatments.,1,0
"You will be monitored and you will stay on top of it~and just a side note, we all worry, some days less, some days more, but remember this.",1,0
My doc said she doesn't bother to test for low Vit D because everyone seems to have it.,1,0
"Median extension is 20 more good months, by that time they may have a cure.",1,0
"My goal is to eventually get an artificial sphincter, such as the AMS-800, that will really knock down the problem.",1,0
"If you have to do rads, they are MUCH easier than chemo (at least they are so far for me).",1,0
"I have accepted ownership of my  Pink ""elephant in the room"" and will provide it with a pretty gold chain and pink collar.",1,0
"Testosterone replacement therapy may be an available option, but that is another matter entirely.",1,0
I know it's going to be a long night.,1,0
I would be happy to answer any e-mail and exchange information.,1,0
"I have been taking mega doses 50,000 units per week since then and I am now up to 29, so we're getting there.",1,0
"Even if your mom isn't willing to get hospice help, you can talk with them.",1,0
I hope it doesn't happen again but just in case have some snacks in your purse!!!,1,0
One minute resolving to beat this and the next thinking to just put it in God's hands.,1,0
"I know, its not fast enough, but.....you will have hair and it will feel so good.",1,0
It sounds very much like you are seeing the beginning.,1,0
"I would've liked it just for piece of mind, but without doc ordering and insurance covering it, there was no way I'd get it.",1,0
Have no signs of that but I took the diagnoses.,1,0
I know it would be so much harder without him.,1,0
"And, like everyone says, it will grow back and you can look great in the meantime with your cute scarves and hats.",1,0
Okay <PERSON> I'm in I'll sing a tune with you unite in your journey back to healthier days!,1,0
"Hopefully, they'll come up with something better by then.",1,0
"I am sure I will have lots of questions
thanks
betty",1,0
"I am actually anticipating my surgery, even the chemo, to get all the sickness out of me and start healing.",1,0
Will this air pocket go to my brain?,1,0
"Your recovery will depend on if you are having reconstruction surgery or not
 <PERSON>",1,0
"surban, I hope you have contacted your oncologist about your symptoms.",1,0
I think <PERSON> has a pattern also if you want to buy a pattern.,1,0
You will find excellent info and lots of support.,1,0
"Iam 47 yrs old, treatment may be diff for older men/women.",1,0
They can not operate due to the size and will therefore be giving her chemo and radiation first.,1,0
"Now, I know it's from Chemo,as everyone is telling me.",1,0
"This is very interesting, I take metformin twice a day for my diabetes, when i see my oncono next time i will be sure to mention it to him, even though i am way past doing chemo, it might be of help to comeone else
tj",1,0
"In other words, for me they were 'doable'.",1,0
I know when I'm tired it will happen more.,1,0
"I just finished my 4th and final <PERSON> treatment today, so hopefully I won't have to be bothered with this much longer.",1,0
I have to have a sonogram done on it next week.,1,0
I will post my experiences on this web site in hopes of helping someone else in the future.,1,0
We will have a few beers and just have a good time together as we always do.,1,0
Hopefully in early September she will be able to start <PERSON> (as long as no active brain mets),1,0
I'm hoping to get the results when I go for 2nd chemo Tuesday.,1,0
I think there are many reasons.,1,0
He has had about seven chemo treatments to date but maybe no more after his next round in three weeks time.,1,0
Yesterday was equally sad upon hearing that continuing treatment would be to no avail.,1,0
I will let me oncologist know when I see him on Tuesday.,1,0
"I'm sure you'll recognize me on the news, Kathi~I believe I am the only 50 foot woman there!",1,0
Can anyone tell how being a diabetic will affect my treatment,1,0
You and I sound similar pain wise and I agree once your catheter is out you will feel like a different <PERSON>.,1,0
I drink lots of water and walk  a few miles 5 days a week--that must be helping.,1,0
i am really going to be curious how this all goes since she was given 3 months to live 1-1/2 month ago.,1,0
"Yes the drains are a pain in the butt, but they will be out before you know it.",1,0
That is were the2% - 5% comes in were if there is remaining cancer he may need radiation.,1,0
I'm trying very hard to convince myself that this is just another scare and I will be fine.,1,0
I am the kind of <PERSON> who wants to know what might lay ahead of me!,1,0
Maybe a nice treat like that might help your bride!,1,0
"It is in everyones best interest to catch these things early, even the insurance would benifit from earlier detection.",1,0
"Let him and your mom know that you will update them regularly on your progress and that emphasis that they did a good job raising you and that with all they have instilled in you, you will be fine.",1,0
You will fill much better once you get your count back up.,1,0
"I've been wanting one for awhile, every time I see a <PERSON> informercial.",1,0
Hospice will be a greta help to you as it was to us but The loss you will feel is tremendous.,1,0
They will do a biopsy on the left lung.,1,0
Never happened but you know how your mind will make things be true.,1,0
"And know that people will bump into people who have gone through this and think ""wow"".",1,0
"It's got to be hard going through this, but think positive, maybe it's not the cancer back again.",1,0
"It is easy for someone to tell you not to fret over it, since nothing can be done until Monday...but that does not help!",1,0
i will add its no fun at all but better days are comming.,1,0
There is someone out there that will treat him.,1,0
"He can overcome the side effects, but he does need to fight it.",1,0
"With the help of God, and all of you, I know I will be able to cope with this.",1,0
We are going to see the chemo <PERSON> this Wednesday.,1,0
Please help me cause i dont think the doctors are saying the truth to this matter.,1,0
Hopefully your next Pet Scan will show NO CANCER AT ALL!!,1,0
"However, from what I hear and read the fatigue and shortness of breath can be from the chemo alone.",1,0
"This book should do the trick, if you really want to quit.",1,0
"So I hope the new biopsy shows something, and they will go in and take this whole tumor out and I will be OK.",1,0
"I know that though <PERSON> is no longer with us, she will always remain in our hearts.",1,0
"Remember, chemo is cumulative so each cycle might take a little more out of them.",1,0
"She will need to do daily exercises, according to her surgeon's instructions, to prevent loss of mobility in the arm.",1,0
it could have detected a tumor at an earlier stage.,1,0
"But, I am sure that he is radiating under your arm too.",1,0
"After treatment (any form), the continuous evaluation of your husbands’ case will always use the PSA as a marker of success, even with G-grades of 4 and 5, because the cancer found is <PERSON>.",1,0
You already know this is a rough road but you can do this and your wife can do this.,1,0
"Ritzy, you know that these sites will really help our pink sisters.",1,0
"I was supposed to go on a dune buggy Sat, guess I will wait!",1,0
"If the scan was very ominous, they would act immediately.",1,0
i support in your effort especially during this difficult time of chemo.you will make it just fine and the new you will be fabulous.,1,0
You will be fine with the MUGA!,1,0
I think it is only natural to go thru a range of emotions when faced with any kind of tramatic situation especially when it is something we don't want to believe.,1,0
You come through the first part and getting ready for second round.,1,0
My suggestion is that he could boost the effectiveness of chemo with diet and possibly herbs.,1,0
I came back and you must believe you can too.,1,0
"And yet, when I think I am being helpful and perhaps even poignant, when I hit ""submit"", presto-bingo, it disappears altogether!",1,0
Cafe au lait and beignets coming right up!!!,1,0
I am with <PERSON> and thinking a second opinion might give you some peace.,1,0
I will continue to update.,1,0
YOu have been thru it all and feel great which means I can feel great next year too when I finish all my stuff.,1,0
I was curious how often (or not) this type of tumor typing is recommend BEFORE a specific treatment is instituted??,1,0
"But, if it works then the side effects are well worth it!",1,0
I feel that any way you can make yourself believe in wellness works and that some things do help.,1,0
The minute the 11th hour arrives I have the pain coming back.,1,0
"Even with gloves on, my roses would get me!",1,0
You are an inspiration to say the least and I know you know that we are ALWAYS here for YOU!,1,0
I hope you can get this under control.,1,0
"I was naive to think that after treatment,  life goes back to “normal“.",1,0
This way I'll know if I posted this right.,1,0
"Depending on the size and location of your tumor, you may not need radiation prior to surgery.",1,0
"Even with a referral, it’s going to be at least a month before she can get in to see a specialist.",1,0
"He is very positive about his cancer and says he will continue to fight, his fight is our fight , i will keep you and your fiance in my prayers just keep believing everything will be okay.",1,0
I will meet with the radiation oncologist tomorrow and get set up for that portion of my treatment.,1,0
This should tell the whole deal I hope.,1,0
"So, my wife’s oncologist told her she was Stage One, instead of Stage Four which is what was suspected before the PET scan.",1,0
"I've never ridden the bus before, but now seems like a really good time to start!",1,0
It's hard to tell if it's from the disease or her being stressed from all of this.,1,0
"If it is an aggressive type your options maybe different.Hugs,
Margo",1,0
Perhaps they can help guide you to a some additional testing.,1,0
"If brain mets are present, then , yes, seizures can occur.",1,0
Don't wear an underwire bra as that will irritate your skin.,1,0
I would suspect your lower back pain is similar to everyone else and is not related to PC.,1,0
"Just listen to your body, it will tell you if you are pushing to hard or not.",1,0
"I am not sure, but, I think <PERSON> is a card game.",1,0
Sounds like you blazed the trail for her and I'm sure provided all your wisdom along the way.,1,0
"If I hadn't done my homework before hand, I would have come away dazed and confused.",1,0
Discussing it with others in the same spot would be wonderful!!!,1,0
"Whew, one down and 3 or 5 left to go.",1,0
you are obviously just suffering from a lack of oxygen,1,0
Scar tissue could be fixed art any time.,1,0
"I under went my (Lower Left Lobe) VAST on 3/30/12, same as your hubby 1A Adenocarcinoma.",1,0
"Even after treatment, I don't think you can ever go back to that pre-cancer time completely.",1,0
"If cancer, won't it get bigger in 2 months?",1,0
"I am not exactly healthy, but I am very much alive and intend to be for a long time.",1,0
So am very nervious but am glad at the same time that it will give me honest answers.,1,0
I will make a report on that later.,1,0
I can't wait to read your book as well.,1,0
Are you going to be talking <PERSON> weekly?,0,1
Whether it is just an ear to listen or to provide information.,0,1
"Honestly, my feet are killing me from too much celebrating,  LOL.",0,1
I agree cancer treatment is a crap shoot.,0,1
My mom must have travelled for more than 30 years with one big trip every year and smaller ones thrown into the mix.,0,1
Ask more questions - do all you can do to increase your odds of survival.,0,1
"Specialist stated with certainty,  based on his experience, 90% sure my tubular lesion is not CANCER ..",0,1
Oh I want some of those chocolate martinis!,0,1
chemo one down the drugs left with a numb right shoulder.,0,1
He knows it has to be his last week for a while.,0,1
There is rarely a situation where you would get everyone to agree that there's only one form of therapy.,0,1
I love to hear survial stories like yours and thank you for the encouragement.,0,1
I pray that you feel better very soon.,0,1
Also noticing tingling and numbness in my left hand.,0,1
I am currently 4 months since my last chemo and getting compliments on my hair just about daily.,0,1
I missed about a week of work after each chemo session.,0,1
The cure word from the dr is very encouraging.,0,1
I am hopeful about my prognosis and I truly do feel blessed.,1,1
I may be starting this as a maintenance along with <PERSON>.,1,1
"If your retirement is anything like mine, They may pay you a lump sum for the rest of your accumulated sick and vacation days.",1,1
"My oncology radiologist thought I may have an infection, so he prescribed an antiboitic.",1,1
I will be thinking of you both on Friday.,1,1
They did rads to catch anything that may be lingering.,1,1
Wishing you the very best on your surgery!,1,1
My surgeon who did my port today said I'll be on chemo with little side effects.,1,1
"Yes, I know its hard, and never ready to face the truth and what lies ahead.",1,1
I will be on <PERSON> for a year infusions every 3 weeks.,1,1
But they mentioned that after the three rounds of chemo they might do the radiation.,1,1
We'll pick a central location and get together.,1,1
Reading your post will make my next hour a happy one!,1,1
I may be there again on the 4th as that is my Birthday and what a wonderful present to meet more of my sisters!!,1,1
<PERSON>.S and if he still has copies he will send you one.,1,1
You may want to visit inspire.com to learn who has done it.,1,1
She has a spot on her liver in addition to her lung that they think is cancer as well.,1,1
Circulation was cut off to the left arm.,0,2
I just had a ct scan yesterday and will find out where I stand when I get the results next week.,0,2
And then I get my new  AUS to play with.,0,2
So glad that you qualified for the trials and praying that they kick butt!,0,2
I made up my own recipe that everyone seems to like.,0,2
the worst part was that I arrived at 10:30 and left at 5:30 and the one and 1/2 hr.,0,2
My husband has small cell and this cancer is very aggressive.,0,2
Hope your parents are a good source of support for you.,0,2
She offered me a gallon of green tea while advising that I NOT take the chemo treatment.,0,2
I got on this site when he was diagnosed.,0,2
Just wondering if it is possible to gain weight while on chemo.,0,2
"Went through the same thing <PERSON>, endoscopies looking for iny bleeds in the gasro area.",0,2
"I guess the most important information I have discoverd thus far is to continue reserching this subject and to make a list of all the questions that I have so I can discuss them on my next visit.At first look, r/p appears to be the most curable option if the cancer is confined within the prostate.",0,2
Tell your husband thanks for his input too!,0,2
"I'm hoping for at least 2-3 years, maybe I'm dreaming but I hope not.",0,2
Doing a CT scan on Monday to see what's going on.,0,2
"Nowadays, crying is not a option only hope and happiness for this cancer chic!!!",0,2
Hope you have a wonderful day!-Jenny,0,2
I hope you have success with the Taxol (Taxotere).,0,2
You all havr inspired me and here I go but for the Grace of God one day at a time,0,2
"  So glad to read your post, and may it stay that way.",0,2
"I think that if you believe it will work, it makes you feel better.",1,2
Until yesterday we were all terrified they would stop treatment.,1,2
docs wont do surgery if you arent up to it.,1,2
"She's due for scans at the end of the month, and hopefully the scans will show that it is under control.",1,2
Dr said the is a 40 percent chance for malignancy.,1,2
Be prepared to cough alot after the surgery too.,1,2
to hear it can't be cut out and you'll be done with it.,1,2
It is encouraging to hear others say the new drugs have worked for them.,1,2
I only have a few more months left for filiing.,1,2
I'll be with you Monday and praying for the best!,1,2
I think back to the better times and have faith we will have times like that again.,1,2
"If it is, the pneumonitis may require treatment before proceeding with Imfinzi.",1,2
"He meets with the surgeon next week, and we will definitely have a lot of questions.",1,2
"You do not supply any detail about your mom's treatment, so I must assume that her 'sweet' issue is related to chemotherapy (?",1,2
I guess it's trial and error for everyone.,1,2
"I would ask an independant oncologist from a cancer center,  Well good luck and hope I have not alarmed you but have helped you.",1,2
F.D.A should have banned cigs years ago then maybe I would not be in this situation to try mms.,1,2
You have a long life ahead of you be strong and you will get through it.,1,2
I  am supposed to start Taxol next Tuesday.,1,2
I knew you would be back online once your surgery was over.,1,2
The doctors are telling me she has months to live.,1,2
